BloodID,TL,BirdID,Ageclass,RightTarsus,LeftTarsus,BodyMass,OccasionDate,LayYear,SexEstimate,LastSighting,TerritoryID,FieldPeriodID,BreedGroupID
2361,3959.240249,628,A,,23.8,16.8,15/07/1996,1993,0,04/06/2004,76,21,2245
2361,5106.997777,628,A,,23.8,16.8,15/07/1996,1993,0,04/06/2004,76,21,2245
2442,5399.30604,628,A,23.9,24.4,14.4,07/08/1997,1993,0,04/06/2004,76,22,62
804,9875.598044,629,A,25.9,26,18.2,05/09/1999,1993,1,02/12/1999,81,28,401
2367,13570.60659,629,A,,26.2,17.7,15/07/1996,1993,1,02/12/1999,84,21,2249
729,5733.215105,632,A,24.7,24.7,15.5,27/04/1999,1993,1,03/08/2000,90,27,337
888,5265.461617,632,A,25.3,25.3,15.1,03/08/2000,1993,1,03/08/2000,90,39,3090
1066,5506.232744,634,A,25.8,,17.0,19/08/2002,1993,1,27/12/2004,171,41,853
2203,2948.730401,637,A,,26.5,16.2,16/06/1995,1993,1,24/12/1997,104,19,2134
2203,3140.474454,637,A,,26.5,16.2,16/06/1995,1993,1,24/12/1997,104,19,2134
2514,6013.713934,637,A,27.0,26.5,16.7,09/07/1997,1993,1,24/12/1997,104,22,78
2680,10263.5986,639,A,22.6,22.5,14.8,05/08/1998,1994,0,07/07/2001,155,25,272
865,5845.581482,663,A,23.9,24,14.9,05/12/1999,1993,0,05/12/1999,130,29,2577
2224,5281.757127,663,A,,24.4,16.0,26/06/1995,1993,0,05/12/1999,164,19,2168
710,7337.526513,668,A,25.2,25.1,16.6,26/01/1999,1994,1,29/07/2002,147,26,2463
830,7223.444303,676,A,26.2,25.6,15.6,21/11/1999,1993,1,02/07/2001,127,29,2576
709,10439.56173,677,A,25.0,24.5,15.4,26/01/1999,1993,0,08/07/2001,141,26,312
2531,8720.734906,677,A,24.6,24.9,15.2,12/07/1997,1993,0,08/07/2001,141,22,102
1108,6149.064696,774,A,25.1,,17.0,04/09/2002,1994,0,04/09/2002,117,41,837
2360,11338.14339,792,A,,24.3,16.0,15/07/1996,1982,0,15/07/1996,73,21,2243
1821,6477.591813,816,,,,14.5,28/06/1996,,0,23/01/1998,299,49,3540
857,2798.907567,823,A,24.0,23.3,14.8,02/12/1999,1994,0,01/08/2003,13,29,2556
1050,9014.471077,823,A,24.5,,16.0,12/08/2002,1994,0,01/08/2003,13,41,785
2582,11302.2942,828,A,27.2,26.9,16.8,23/07/1997,1994,1,16/09/1998,51,22,43
244,2482.29536,832,A,24.2,,15.3,19/12/2003,1994,0,10/12/2005,83,31,2656
244,5547.562175,832,A,24.2,,15.3,19/12/2003,1994,0,10/12/2005,83,31,2656
730,5338.869044,832,A,23.9,23.9,14.5,01/05/1999,1994,0,10/12/2005,83,27,2512
2595,9201.443959,837,A,26.0,25.8,17.1,15/01/1998,1994,1,05/08/1998,23,23,130
1043,5694.409477,845,A,24.0,,14.9,03/08/2002,1994,0,24/06/2007,137,41,845
2677,13506.91179,847,A,25.2,25.1,16.3,04/08/1998,1994,1,07/08/2000,138,25,269
2677,14.62014634,847,A,25.2,25.1,16.3,04/08/1998,1994,1,07/08/2000,138,25,269
2682,11935.26023,847,A,25.3,25.1,16.6,07/08/1998,1994,1,07/08/2000,138,25,269
880,2439.27934,848,A,24.1,23.9,13.6,01/08/2000,1994,0,01/08/2000,100,39,3096
703,3906.234466,849,A,26.5,26.3,17.4,20/01/1999,1994,1,27/12/2003,101,26,303
703,883.3014583,849,A,26.5,26.3,17.4,20/01/1999,1994,1,27/12/2003,101,26,303
1061,6134.797507,849,A,27.1,,18.0,16/08/2002,1994,1,27/12/2003,101,41,3274
2676,9513.841715,849,A,26.4,26.2,,03/08/1998,1994,1,27/12/2003,101,25,253
2418,8742.581388,850,A,23.9,23.5,13.4,27/07/1997,1994,0,03/08/1997,59,22,50
889,18281.64724,858,A,24.8,24.8,16.4,03/08/2000,1994,0,03/08/2000,92,39,3091
260,5253.193476,862,A,24.5,,16.8,24/12/2003,1994,0,11/12/2005,90,31,2661
2686,13476.45495,865,A,26.4,26.2,17.6,04/08/1998,1994,1,07/09/1999,81,25,240
2628,7566.554209,868,A,25.8,25.8,16.4,17/02/1998,1995,1,23/08/1998,16,23,127
2703,8015.395753,868,A,25.5,25.3,15.4,18/08/1998,1995,1,23/08/1998,30,25,208
832,6536.726006,869,A,24.5,24.4,13.8,21/11/1999,1995,0,18/02/2010,65,29,2569
2597,5885.944146,884,A,26.9,26.9,16.1,16/01/1998,1995,1,27/03/1998,89,23,158
836,4264.760217,886,A,25.1,25.9,16.0,22/11/1999,1995,1,30/11/1999,37,29,2559
2577,6120.023285,911,A,27.1,26.8,16.2,05/07/1997,1994,1,08/09/2010,24,22,2302
2715,4532.251072,911,A,26.4,26.4,16.6,23/08/1998,1994,1,08/09/2010,4,25,190
3106,3373.125694,911,A,25.0,,17.0,14/07/2006,1994,1,08/09/2010,4,75,3763
3740,3351.152539,911,A,26.4,,16.6,17/07/2007,1994,1,08/09/2010,4,82,4191
3841,3378.193979,911,A,26.6,,16.4,30/08/2007,1994,1,08/09/2010,4,82,4191
3958,5573.943162,911,A,26.8,,16.8,16/07/2008,1994,1,08/09/2010,4,87,4498
46,4070.90269,912,A,24.4,,14.9,07/06/2003,1994,0,30/07/2008,1,30,444
372,10871.13714,912,A,24.1,,15.7,25/07/2004,1994,0,30/07/2008,1,34,566
669,5341.572102,912,A,24.1,,15.3,05/09/2005,1994,0,30/07/2008,1,37,646
2470,9879.475541,912,A,24.5,24.1,14.6,06/07/1997,1994,0,30/07/2008,1,22,15
2691,7123.264477,915,A,24.4,24.6,16.6,09/08/1998,1994,0,01/01/2004,135,25,2396
2622,6652.333414,917,A,26.5,26.3,16.6,12/02/1998,1994,1,05/07/2001,95,23,161
55,6613.803187,921,A,24.5,,15.2,10/06/2003,1994,1,15/12/2003,47,30,477
2231,10582.79889,921,A,,25.2,14.6,28/05/1995,1994,1,15/12/2003,62,19,2114
2231,5448.977216,921,A,,25.2,14.6,28/05/1995,1994,1,15/12/2003,62,19,2114
2559,6836.730354,921,A,24.6,24.9,16.8,16/07/1997,1994,1,15/12/2003,47,22,40
2403,6014.272594,922,A,25.9,25.4,18.0,04/07/1997,1994,1,11/09/1999,1,22,15
146,3821.234535,927,A,25.0,,16.7,26/07/2003,1994,0,27/12/2003,2,30,445
2292,15402.04257,927,A,,24.9,15.2,08/06/1995,1994,0,27/12/2003,13,19,2085
2292,8065.615655,927,A,,24.9,15.2,08/06/1995,1994,0,27/12/2003,13,19,2085
2497,10766.0657,927,A,25.3,24.7,15.5,27/12/1997,1994,0,27/12/2003,2,23,119
1035,4748.928806,929,A,27.0,,17.6,01/08/2002,1994,1,03/12/2005,15,41,787
3807,3824.513592,930,A,24.8,,15.7,15/08/2007,1994,0,19/02/2013,12,82,4197
847,8883.967893,932,A,23.6,23.7,13.5,01/12/1999,1994,0,07/09/2002,53,29,2565
2540,13986.9888,941,A,26.5,26,17.3,13/07/1997,1994,1,23/03/1998,135,22,98
2482,12969.95518,942,A,23.6,23.8,14.2,21/08/1997,1994,0,27/01/1998,167,22,113
2364,3618.332711,949,A,,24.6,14.3,15/07/1996,1995,0,12/01/2005,76,21,2245
2373,2027.556595,951,A,,24.4,13.7,29/06/1996,1995,0,21/07/2002,87,21,2251
2373,3064.979745,951,A,,24.4,13.7,29/06/1996,1995,0,21/07/2002,87,21,2251
2576,7994.326386,951,A,,,,23/07/1997,1995,0,21/07/2002,88,22,69
2331,6548.200524,1017,A,,23.7,16.3,30/06/1996,1992,0,23/05/2004,110,21,2265
2547,5862.1432,1017,A,24.2,23.8,14.5,14/07/1997,1992,0,23/05/2004,110,22,83
2547,14715.36828,1017,A,24.2,23.8,14.5,14/07/1997,1992,0,23/05/2004,110,22,83
480,6858.545979,1018,A,26.4,,17.5,12/06/2005,1995,1,16/08/2007,110,37,725
480,2957.435977,1018,A,26.4,,17.5,12/06/2005,1995,1,16/08/2007,110,37,725
2897,2972.665789,1018,A,25.8,,17.0,27/11/2005,1995,1,16/08/2007,110,54,6377
3186,10399.33581,1018,A,26.3,,17.8,15/08/2006,1995,1,16/08/2007,110,75,3841
2333,4432.593387,1019,SA,,25.1,14.4,30/06/1996,1995,0,19/01/1999,86,21,2250
2333,4012.579112,1019,SA,,25.1,14.4,30/06/1996,1995,0,19/01/1999,86,21,2250
2517,5146.933318,1019,A,25.2,25.1,15.0,10/07/1997,1995,0,19/01/1999,77,22,63
1121,7273.001774,1020,A,26.2,,17.5,11/09/2002,1995,1,11/09/2002,23,41,791
2334,8232.614386,1020,SA,,26.5,16.6,30/06/1996,1995,1,11/09/2002,23,21,2210
2594,5878.933001,1020,A,26.1,26,17.1,15/01/1998,1995,1,11/09/2002,23,23,130
840,5313.97948,1022,A,23.4,23.3,13.4,22/11/1999,1995,0,07/12/1999,112,29,2574
2336,2803.918826,1022,SA,,23.8,13.8,30/06/1996,1995,0,07/12/1999,108,21,2263
2336,3152.119306,1022,SA,,23.8,13.8,30/06/1996,1995,0,07/12/1999,108,21,2263
3227,4640.944907,1024,A,25.1,,14.5,30/08/2006,1995,0,28/08/2007,127,75,3851
2348,2956.592359,1028,A,,26.5,16.9,30/06/1996,1995,1,20/11/1999,134,21,14
2348,2972.66135,1028,A,,26.5,16.9,30/06/1996,1995,1,20/11/1999,134,21,14
2645,24683.19292,1028,A,25.8,26,16.1,10/03/1998,1995,1,20/11/1999,155,23,179
2645,16481.31197,1028,A,25.8,26,16.1,10/03/1998,1995,1,20/11/1999,155,23,179
2678,13642.11217,1028,A,26.2,26,17.2,04/08/1998,1995,1,20/11/1999,155,25,272
585,8052.471519,1029,A,26.7,,16.5,29/07/2005,1996,1,31/08/2010,43,37,677
658,5330.941592,1029,A,26.4,,15.7,01/09/2005,1996,1,31/08/2010,43,37,677
2653,17444.62329,1029,A,26.8,26.6,16.1,22/03/1998,1996,1,31/08/2010,43,23,2318
4288,13502.18117,1029,A,26.5,,17.8,22/06/2009,1996,1,31/08/2010,43,92,4727
2484,9568.892522,1030,SA,25.2,25.4,16.6,21/08/1997,1996,1,21/08/1997,55,22,47
2484,7811.296131,1030,SA,25.2,25.4,16.6,21/08/1997,1996,1,21/08/1997,55,22,47
996,5595.798872,1031,A,26.6,,17.6,18/07/2002,1996,1,09/03/2010,74,41,817
3145,6924.26882,1031,A,26.4,,17.8,08/08/2006,1996,1,09/03/2010,74,75,3815
3385,8016.740199,1031,A,27.0,,17.9,14/06/2007,1996,1,09/03/2010,74,82,4244
3750,6896.171263,1031,A,26.3,,17.9,18/07/2007,1996,1,09/03/2010,74,82,4244
3974,6025.312146,1031,A,26.5,,17.8,18/07/2008,1996,1,09/03/2010,74,87,4549
4027,2295.195136,1031,A,26.0,,17.6,07/01/2009,1996,1,09/03/2010,74,90,4116
4027,1932.02565,1031,A,26.0,,17.6,07/01/2009,1996,1,09/03/2010,74,90,4116
4027,6789.66753,1031,A,26.0,,17.6,07/01/2009,1996,1,09/03/2010,74,90,4116
795,11550.4448,1032,A,26.2,25.8,17.3,05/09/1999,1996,1,10/07/2001,60,28,388
873,6002.17731,1032,A,25.6,25.7,,29/07/2000,1996,1,10/07/2001,60,39,3066
2483,14715.36828,1032,SA,25.8,26,16.4,21/08/1997,1996,1,10/07/2001,63,22,53
2511,6422.368107,1033,A,25.0,25.4,13.6,04/07/1997,1996,0,14/08/1997,1,22,15
2567,7349.437355,1036,A,23.7,23.5,15.7,21/07/1997,1995,0,09/01/1998,72,22,59
2366,4099.392772,1037,A,,26.1,17.9,15/07/1996,1995,1,04/08/1999,76,21,2245
2366,4935.012358,1037,A,,26.1,17.9,15/07/1996,1995,1,04/08/1999,76,21,2245
59,6305.358783,1040,A,26.2,,16.6,13/06/2003,1995,1,23/06/2006,109,30,522
475,8551.707285,1040,A,25.8,,17.0,12/06/2005,1995,1,23/06/2006,110,37,725
1001,11300.03904,1040,A,26.4,,17.0,20/07/2002,1995,1,23/06/2006,109,41,831
2436,7527.393669,1040,A,26.7,26.4,17.2,03/08/1997,1995,1,23/06/2006,33,22,34
2369,11373.6104,1041,A,,27.7,18.8,15/07/1996,1995,1,18/01/1999,80,21,2246
2579,9217.136002,1041,A,27.4,27,18.0,23/07/1997,1995,1,18/01/1999,80,22,64
292,5751.728505,1042,A,24.9,,15.8,06/06/2004,1996,0,25/08/2014,63,34,604
1019,9565.028813,1042,A,24.9,,17.7,26/07/2002,1996,0,25/08/2014,63,41,813
2459,1630.632114,1042,A,25.3,25.2,14.6,06/07/1997,1996,0,25/08/2014,38,22,35
611,5776.059049,1043,A,,,,10/08/2005,1995,0,15/02/2010,165,37,3008
1079,6822.530491,1043,A,24.4,,15.0,23/08/2002,1995,0,15/02/2010,165,41,852
2371,9759.197523,1043,A,,24.7,15.5,15/07/1996,1995,0,15/02/2010,165,21,2293
2950,2242.320174,1043,A,24.5,,15.3,09/12/2005,1995,0,15/02/2010,165,54,5791
726,5261.276876,1045,A,24.6,24.6,16.5,30/04/1999,1996,1,08/07/2001,89,27,336
2528,8606.180315,1045,A,25.1,24.8,12.5,11/07/1997,1996,1,08/07/2001,115,22,85
2626,12655.76015,1045,A,23.3,25.1,15.8,12/02/1998,1996,1,08/07/2001,71,23,148
732,6590.710531,1047,A,23.9,23.8,16.6,02/05/1999,1996,1,20/11/1999,112,27,2521
2524,9717.462401,1047,SA,24.3,24.2,15.5,11/07/1997,1996,1,20/11/1999,112,22,84
134,7586.589748,1049,A,24.0,,14.8,15/07/2003,1996,0,23/12/2003,116,30,527
2532,14146.82508,1049,SA,23.6,23.4,14.9,12/07/1997,1996,0,23/12/2003,141,22,102
2610,8473.888695,1051,A,,,14.3,28/01/1998,1996,0,18/07/1999,57,23,142
2376,7721.463017,1055,A,,23.4,17.1,18/07/1996,1995,0,18/07/1996,27,21,2213
1006,3456.047126,1059,A,24.3,,17.8,21/07/2002,1996,0,02/01/2004,24,41,792
1006,2647.650531,1059,A,24.3,,17.8,21/07/2002,1996,0,02/01/2004,24,41,792
2443,7135.89608,1061,A,26.3,26.1,15.3,07/08/1997,1996,1,16/03/1998,76,22,62
704,5583.052251,1062,A,25.4,25.1,,20/01/1999,1996,1,23/09/1999,100,26,2451
890,11769.01075,1063,A,24.9,24.7,15.7,03/08/2000,1996,1,03/08/2000,92,39,3091
1814,4112.980385,1065,A,25.2,,15.1,15/04/1996,1995,1,22/01/1998,323,49,3640
1859,5251.969573,1067,A,25.0,,14.5,08/05/1996,1995,0,31/12/1997,320,49,3632
1860,9303.638659,1068,A,25.4,,16.3,08/05/1996,1995,1,08/05/1996,320,49,3632
1860,4319.681348,1068,A,25.4,,16.3,08/05/1996,1995,1,08/05/1996,320,49,3632
2419,6374.357925,1130,A,23.7,23.6,13.7,27/07/1997,,0,02/12/1999,59,22,50
2688,10815.9577,1130,A,23.5,23.3,14.7,05/08/1998,,0,02/12/1999,82,25,241
2492,3741.650293,1151,A,26.2,26.1,15.9,04/07/1997,1996,1,16/08/1999,1,22,15
2492,16271.26261,1151,A,26.2,26.1,15.9,04/07/1997,1996,1,16/08/1999,1,22,15
2684,11775.559,1153,A,24.8,24.8,16.6,06/08/1998,1996,1,15/08/1998,160,25,274
399,4198.222593,1155,A,23.1,,16.3,31/07/2004,1996,0,16/07/2007,169,34,635
399,2426.359423,1155,A,23.1,,16.3,31/07/2004,1996,0,16/07/2007,169,34,635
2973,3041.808475,1155,A,23.4,,14.9,15/03/2006,1996,0,16/07/2007,169,74,5792
2481,10223.48742,1156,A,26.1,25.7,15.5,06/07/1997,1996,1,09/07/2001,45,22,39
2490,7257.128423,1157,A,26.8,27.1,17.0,06/07/1997,1996,1,19/02/1998,52,22,44
1072,3209.519161,1158,A,24.6,,15.2,20/08/2002,1996,0,20/08/2002,77,41,819
2515,5431.891283,1158,A,24.6,24.5,15.3,10/07/1997,1996,0,20/08/2002,77,22,63
2658,9488.363602,1158,A,24.4,24.3,13.4,23/06/1998,1996,0,20/08/2002,77,25,238
2658,3439.351222,1158,A,24.4,24.3,13.4,23/06/1998,1996,0,20/08/2002,77,25,238
2516,7414.709955,1159,A,25.7,25.9,16.0,10/07/1997,1996,1,23/08/1999,77,22,63
2657,6825.370195,1159,A,25.9,25.3,15.6,23/06/1998,1996,1,23/08/1999,77,25,238
2523,4016.894577,1160,A,24.5,24.7,15.0,11/07/1997,1996,0,04/12/1999,112,22,84
2544,11303.94216,1161,SA,25.5,25.3,15.0,05/07/1997,1996,0,05/07/2001,24,22,2302
2404,5467.865363,1162,SA,26.3,26.4,15.5,05/07/1997,1996,1,07/02/1998,40,22,36
2415,7077.43655,1163,SA,26.6,26.9,16.1,05/07/1997,1996,1,05/07/1997,1,22,15
2448,8570.531385,1164,A,26.0,26,16.0,05/07/1997,1996,1,20/08/1999,40,22,36
2448,5525.758799,1164,A,26.0,26,16.0,05/07/1997,1996,1,20/08/1999,40,22,36
