offspring,mother,father,prob,SexEstimate,LayYear,MumLayYear,DadLayYear
4935,1672,,1,0,2006,2001,
4936,1827,1783,0.9999,0,2006,2002,2003
4937,1827,,0.9409,1,2006,2002,
4938,1791,1509,1,0,2006,2002,1999
4939,1532,911,0.9248,1,2006,1999,1994
4945,1803,1802,0.9948,1,2006,2002,2002
4948,1437,,0.9968,1,2006,1998,
4949,1491,,0.9999,0,2006,1999,
4950,1491,,0.982,0,2006,1999,
4951,3567,1604,1,1,2006,2004,2000
4952,1437,1722,0.9863,0,2006,1998,2001
4953,1789,,0.9997,1,2006,2002,
4954,1672,1533,1,1,2006,2001,1999
4956,1685,1608,1,0,2006,2002,2000
4957,2982,,0.9968,1,2006,2003,
4958,1172,1171,0.9992,0,2006,1996,1996
4960,2968,1769,0.9556,0,2006,2003,2003
4961,1361,1698,1,0,2006,1998,2001
4962,1760,1829,1,1,2006,2001,2003
4963,2968,1769,0.9996,1,2006,2003,2003
4964,2959,1831,0.9998,0,2006,2002,2003
4965,3094,1739,0.9985,0,2006,2004,2002
4966,1559,1702,0.9992,1,2006,1999,2002
4967,1501,,0.9615,1,2006,1998,
4968,1503,,0.9974,0,2006,1999,
4969,3500,2988,0.9993,0,2006,2005,2004
4970,3487,1543,0.9593,0,2006,2004,1999
4971,1669,1897,0.9998,0,2006,2001,2003
4972,1155,1808,0.9969,1,2006,1996,2003
4973,2968,,0.9227,0,2006,2003,
4974,2968,1769,0.9996,0,2006,2003,2003
4999,1757,1523,1,0,2007,2001,1999
5000,3002,1581,0.9998,1,2006,2003,2000
5071,1532,1804,0.917,1,2007,1999,2003
5072,2985,1752,1,1,2007,2003,2002
5073,3446,,0.9957,0,2006,2005,
5074,1765,,0.947,0,2007,2002,
5076,1800,1769,0.9999,1,2007,2002,2003
5077,3505,,0.9949,1,2007,2005,
5078,1614,1767,0.9998,1,2006,2001,2002
5079,1716,,0.9993,0,2005,2002,
5099,1753,1775,0.999,1,2006,2002,2002
5117,3002,1581,0.9994,0,2007,2003,2000
5119,1580,,0.975,0,2007,2000,
5121,3698,1489,1,1,2007,2004,1999
5123,1042,1577,0.9978,0,2007,1996,2000
5125,2985,1752,1,0,2007,2003,2002
5126,2985,1752,1,1,2007,2003,2002
5127,1826,1499,0.9992,0,2007,2003,1999
5128,1789,,0.9972,0,2007,2002,
5129,1789,1869,1,1,2007,2002,2003
5130,3090,3458,0.9996,0,2007,2004,2005
5131,1193,2990,0.9987,1,2007,1996,2004
5132,3698,,0.9571,0,2006,2004,
5134,3085,1729,0.9992,0,2007,2004,2001
5136,2963,,0.9931,0,2007,2003,
5137,1776,,0.9973,0,2007,2002,
5138,1532,911,0.9976,0,2007,1999,1994
5140,1854,1029,1,0,2007,2003,1996
5141,3487,1543,0.8809,0,2007,2004,1999
5142,3449,2962,0.9999,0,2007,2005,2004
5144,3608,1553,0.9995,1,2007,2005,1999
5145,1716,,0.8699,0,2007,2002,
5146,3567,1604,0.9937,1,2007,2004,2000
5147,3497,1611,0.9997,0,2007,2005,2000
5148,1172,1171,0.9969,1,2007,1996,1996
5149,1757,,0.9201,1,2007,2001,
5151,1438,1708,0.9959,1,2007,1999,2001
5152,1438,1708,0.9999,0,2007,1999,2001
5153,4907,,0.8421,1,2007,2006,
5154,3507,,0.9991,0,2007,2004,
5155,1361,1698,1,0,2007,1998,2001
5156,1401,1788,0.9983,0,2007,1997,2002
5157,4935,1524,0.9386,0,2007,2006,1999
5160,1790,1731,0.9997,0,2007,2002,2002
5161,1872,1777,0.9995,1,2007,2003,2003
5163,1536,1787,0.9665,0,2007,1999,2002
5166,930,3519,1,0,2007,1994,2005
5168,3500,2988,0.9784,0,2007,2005,2004
5169,3094,1739,0.998,1,2007,2004,2002
5175,2978,,0.9837,0,2008,2003,
5194,1419,1795,0.8873,0,2007,1999,2002
5195,1740,,0.9993,0,2008,2001,
5196,1605,,0.9518,0,2008,2000,
5197,3085,1729,0.9999,1,2008,2004,2001
5198,3462,3093,0.9961,0,2008,2005,2004
5204,3569,3456,0.9991,1,2008,2005,2004
5205,3604,1533,0.9982,0,2008,2005,1999
5209,3616,3456,0.9714,1,2008,2005,2004
5210,2989,,0.9775,1,2008,2004,
5212,1895,1754,1,0,2008,2003,2001
5213,1491,,0.9338,0,2007,1999,
5216,3595,3457,1,0,2007,2005,2005
5217,3596,,0.9036,0,2008,2005,
5220,3517,,0.9208,1,2008,2005,
5224,4878,1742,0.9991,0,2008,2006,2002
5225,1438,1708,0.9198,1,2008,1999,2001
5226,3574,4866,0.924,1,2008,2005,2005
5235,1669,,0.9988,1,2008,2001,
5236,2985,1752,1,1,2008,2003,2002
5237,4896,2990,0.9957,1,2008,2006,2004
5240,3699,1808,0.9983,1,2008,2005,2003
5242,3698,,0.9913,0,2008,2004,
5247,3608,1553,0.9998,0,2008,2005,1999
5249,1782,1881,0.9639,1,2007,2002,2003
5254,1678,1412,0.9998,1,2008,2002,1998
5260,3491,,0.9996,1,2008,2005,
5261,3641,,0.9988,1,2008,2005,
5265,1790,1731,0.9979,0,2008,2002,2002
5267,3518,3454,0.9998,0,2007,2005,2004
5268,1438,1708,1,0,2007,1999,2001
5269,3451,1801,0.9989,1,2008,2005,2002
5271,1614,4902,1,1,2008,2001,2006
5272,2968,,0.9998,0,2008,2003,
5273,1536,4967,1,1,2008,1999,2006
5275,1803,,0.9952,1,2008,2002,
5276,2963,,0.9791,1,2008,2003,
5277,4965,1616,0.9995,0,2008,2006,2000
5279,1361,1698,0.9997,0,2008,1998,2001
5281,3451,1801,0.9989,1,2009,2005,2002
5282,930,3519,0.9968,0,2008,1994,2005
5285,3606,1394,0.9977,1,2008,2005,1998
5286,1532,911,0.9961,1,2009,1999,1994
5287,1491,,0.9025,0,2009,1999,
5288,3606,5285,0.9383,0,2009,2005,2008
5289,1791,,0.999,0,2009,2002,
5290,5079,,0.9362,1,2008,2005,
5291,1043,,0.9856,1,2008,1995,
5292,3022,,0.9971,1,2008,2004,
5293,3022,3696,0.9988,0,2008,2004,2004
5294,1757,1523,0.9658,1,2009,2001,1999
5312,1854,1029,0.9946,0,2009,2003,1996
5313,4964,,0.8966,0,2009,2006,
5314,1821,1504,0.9974,1,2009,2002,1999
5315,3449,4897,0.9992,0,2009,2005,2006
5316,1824,4967,0.9998,1,2009,2003,2006
5319,4868,1886,0.9993,0,2008,2006,2002
5322,3453,1744,0.9991,1,2008,2004,2001
5323,3002,1581,0.9983,0,2008,2003,2000
5325,5075,5000,0.9989,1,2009,2006,2006
5326,4935,,0.9931,0,2009,2006,
5327,3086,4829,1,1,2009,2004,2006
5332,1605,5071,1,0,2009,2000,2007
5333,1857,3618,0.9878,1,2009,2003,2004
5336,1042,1577,0.9994,0,2009,1996,2000
5338,1798,2974,0.9997,1,2009,2003,2004
5339,1826,1499,0.9947,0,2009,2003,1999
5340,3491,5169,1,1,2009,2005,2007
5342,2989,4887,1,1,2009,2004,2006
5343,3086,,0.9974,1,2009,2004,
5418,4871,4860,0.9965,1,2009,2006,2006
5449,3604,1533,0.9992,0,2009,2005,1999
5450,3490,,0.9998,0,2009,2005,
5451,5128,,0.8427,0,2009,2007,
5452,3695,1869,0.9984,0,2009,2005,2003
5453,1763,,0.9377,1,2009,2002,
5454,3462,3093,0.998,0,2009,2005,2004
5455,1765,1752,1,0,2009,2002,2002
5456,4958,4888,1,1,2009,2006,2006
5457,4883,,0.9992,0,2009,2006,
5458,3574,4866,0.9981,0,2009,2005,2005
5459,3606,,0.8677,0,2009,2005,
5460,4871,4860,0.9582,1,2009,2006,2006
5461,1438,1708,0.9985,0,2009,1999,2001
5462,1532,911,0.9899,1,2009,1999,1994
5463,3002,,0.9576,1,2009,2003,
5464,4935,,0.9725,0,2009,2006,
5465,3444,4887,0.9997,0,2009,2004,2006
5473,4912,,0.9043,0,2008,2006,
5497,1438,1708,0.9964,1,2009,1999,2001
5498,4868,1886,0.9974,1,2009,2006,2002
5499,3451,1801,0.9999,1,2010,2005,2002
5507,3094,,0.8566,1,2009,2004,
5509,5123,1577,0.8488,1,2010,2007,2000
5511,4863,1762,0.9896,0,2010,2006,2002
5513,4973,,0.9697,1,2009,2006,
5514,5320,1029,0.9995,0,2009,2007,1996
5516,1864,1542,0.9993,0,2009,2003,1999
5519,5147,5159,0.9998,1,2009,2007,2007
5522,1757,,0.979,1,2009,2001,
5526,4941,3615,0.9968,1,2008,2006,2005
5527,4936,1710,0.9877,1,2010,2006,2002
5530,3594,5197,1,0,2009,2005,2008
5533,1361,1698,0.9997,0,2010,1998,2001
5534,2963,3089,0.9865,0,2010,2003,2004
5536,1763,,0.9932,0,2010,2002,
5538,3567,1604,1,1,2009,2004,2000
5539,4961,5167,0.9948,1,2009,2006,2007
5540,4965,1616,0.9893,1,2010,2006,2000
5541,5141,,0.8841,1,2009,2007,
5542,3569,,0.9996,0,2010,2005,
5543,4917,,0.9934,0,2010,2006,
5544,3497,1611,1,0,2010,2005,2000
5545,2989,,0.9293,0,2010,2004,
5546,4936,,0.9783,0,2010,2006,
5547,5217,,0.9853,1,2010,2008,
5548,3444,1731,0.8823,1,2010,2004,2002
5550,4896,,0.9998,1,2010,2006,
5551,3567,1604,0.9992,1,2010,2004,2000
5552,4883,,0.9909,0,2010,2006,
5553,4863,1762,0.9998,0,2010,2006,2002
5554,5268,2991,1,1,2010,2007,2003
5555,4935,,0.9486,1,2010,2006,
5557,3462,3093,0.9931,1,2010,2005,2004
5558,5217,,0.9959,1,2010,2008,
5560,3698,1489,0.9997,1,2010,2004,1999
5561,3517,5333,0.9987,1,2010,2005,2009
5562,1605,4939,1,0,2010,2000,2006
5563,3604,,0.9869,1,2010,2005,
5564,5224,1881,0.9955,0,2010,2008,2003
5565,2985,,0.9997,0,2010,2003,
5566,1617,,0.9947,0,2010,2000,
5567,3604,,0.8673,1,2010,2005,
5571,5242,1489,0.999,1,2010,2008,1999
5572,3451,1801,0.9887,1,2010,2005,2002
5573,5532,,0.9719,0,2009,2009,
5574,5324,,0.9206,0,2010,2008,
5575,5168,,0.9998,0,2010,2007,
5584,3086,5204,0.9826,0,2010,2004,2008
5587,3518,3454,0.9995,1,2010,2005,2004
5588,4964,,0.9562,1,2010,2006,
5592,5267,,0.9516,0,2010,2007,
5593,5217,,0.9832,0,2010,2008,
5594,3606,,0.9544,1,2011,2005,
5595,1707,,0.9942,1,2011,2001,
5596,3596,,0.9802,0,2010,2005,
5597,1716,,0.8758,0,2010,2002,
5599,4973,1868,0.9912,1,2011,2006,2003
5601,5125,,0.8022,1,2011,2007,
5602,1803,,0.9154,1,2010,2002,
5604,5284,,0.9903,0,2010,2008,
5611,4973,1868,0.999,0,2010,2006,2003
5617,1824,5220,0.9995,0,2011,2003,2008
5618,1438,1708,0.9996,0,2011,1999,2001
5619,3085,1729,1,0,2011,2004,2001
5622,4965,1616,0.9891,1,2011,2006,2000
5624,5533,5167,0.9984,1,2011,2010,2007
5625,5531,4957,1,0,2010,2008,2006
5627,3462,,0.9955,1,2011,2005,
5628,2968,5240,0.9986,1,2011,2003,2008
5629,1707,1710,0.9999,1,2011,2001,2002
5630,5319,,0.9994,0,2011,2008,
5632,5173,5291,0.9437,0,2011,2007,2008
5633,3022,3696,0.9983,0,2010,2004,2004
5635,1826,,0.9996,0,2011,2003,
5638,1617,,0.9973,1,2011,2000,
5639,5242,1489,0.9998,1,2011,2008,1999
5641,3517,,0.9879,0,2011,2005,
5643,5277,,0.9995,1,2010,2008,
5644,5277,4933,1,0,2011,2008,2006
5645,5163,5072,1,1,2011,2007,2007
5646,5323,1616,0.9998,1,2011,2008,2000
5647,3451,1801,0.9998,0,2011,2005,2002
5648,5277,4933,0.9999,0,2011,2008,2006
5649,3451,,1,1,2011,2005,
5651,4965,,0.988,1,2011,2006,
5652,5075,5000,0.9873,0,2010,2006,2006
5653,3462,,0.988,0,2011,2005,
5656,3606,,0.9966,0,2011,2005,
5657,3567,,0.9991,0,2011,2004,
5658,4999,,1,0,2011,2007,
5681,5598,,0.9998,0,2011,2009,
5682,5320,1762,1,1,2011,2007,2002
5684,5267,2960,0.9858,1,2011,2007,2003
5686,5217,,0.9788,0,2011,2008,
5687,5457,5285,1,1,2011,2009,2008
5747,5164,2966,0.999,1,2011,2007,2004
5748,3608,5237,0.9993,0,2011,2005,2008
5750,1826,,0.9997,0,2011,2003,
5752,5282,5462,1,1,2011,2008,2009
5753,5516,1731,1,1,2011,2009,2002
5754,5128,,0.8037,1,2010,2007,
5756,5562,2991,0.9999,0,2011,2010,2003
5757,5532,5515,1,1,2011,2009,2009
5758,1864,,1,1,2011,2003,
5759,3574,4866,1,1,2011,2005,2005
5762,1791,,0.9286,1,2011,2002,
5764,5452,5334,0.9994,1,2011,2009,2009
5766,5337,5508,0.999,0,2011,2009,2009
5767,5524,4860,0.9998,1,2011,2009,2006
5768,4917,5144,0.9996,1,2011,2006,2007
5769,5450,5614,0.9999,0,2011,2009,2010
5770,5125,,0.9268,0,2011,2007,
5772,1415,4890,0.9974,0,2011,1998,2006
5773,5511,2974,1,0,2011,2010,2004
5775,1716,,0.9969,1,2011,2002,
5777,3517,5333,0.9818,0,2011,2005,2009
5778,3517,5333,0.9993,0,2011,2005,2009
5780,3490,3087,1,1,2011,2005,2004
5782,5162,5077,0.9982,1,2011,2006,2007
5783,4965,1616,1,1,2011,2006,2000
5784,5341,5522,1,1,2011,2008,2009
5785,3453,5523,0.998,1,2012,2004,2009
5820,4904,,1,1,2011,2006,
5821,3596,,0.9933,1,2012,2005,
5822,5604,,0.9571,1,2012,2010,
5823,5163,5072,1,0,2012,2007,2007
5825,5517,,0.9963,0,2012,2009,
5829,3085,5774,0.91,1,2012,2004,2011
5830,5195,,0.9999,0,2012,2008,
5831,3086,,0.9569,1,2012,2004,
5832,1707,,0.9099,0,2012,2001,
5833,3490,3087,1,0,2011,2005,2004
5834,5267,,0.9809,1,2012,2007,
5835,5164,2966,0.9999,1,2011,2007,2004
5837,5685,,0.9426,1,2011,2011,
5838,5128,5583,0.9997,0,2012,2007,2010
5839,1824,5679,1,1,2012,2003,2010
5840,3698,1489,0.9986,0,2012,2004,1999
5844,5683,4854,0.9997,0,2012,2009,2006
5846,3491,5290,0.9999,0,2012,2005,2008
5848,5195,5781,0.9995,0,2012,2008,2011
5849,5123,1577,0.9997,0,2012,2007,2000
5850,3596,,0.9719,1,2012,2005,
5851,5518,5456,1,0,2012,2009,2009
5852,1580,3643,0.9999,0,2012,2000,2005
5853,4958,,0.9998,1,2012,2006,
5854,5549,,0.9378,0,2012,2009,
5855,5549,,0.9916,1,2012,2009,
5905,5465,,0.9648,1,2012,2009,
5906,4885,5338,0.9907,1,2012,2006,2009
5907,5589,5781,0.9065,1,2012,2010,2011
5908,5634,,0.8935,1,2012,2010,
5909,1707,1710,0.9999,0,2012,2001,2002
6009,4958,5626,0.9994,0,2013,2006,2010
6010,3094,,0.9906,1,2012,2004,
6011,5621,1607,0.9997,1,2012,2010,2001
6013,5633,,0.9004,0,2012,2010,
6015,5685,5285,0.9996,0,2012,2011,2008
6016,5683,,0.9928,1,2012,2009,
6018,3086,5828,0.9974,1,2012,2004,2011
6020,3085,1729,1,0,2012,2004,2001
6021,5514,5321,0.9589,0,2012,2009,2008
6023,5613,5779,0.9999,0,2012,2009,2010
6024,1864,5333,0.9973,1,2012,2003,2009
6025,5525,5513,0.9913,1,2012,2009,2009
6026,5530,,0.9998,1,2012,2009,
6028,5284,,0.9851,0,2012,2008,
6029,5524,4860,1,1,2012,2009,2006
6032,5773,,0.9506,1,2012,2011,
6034,5511,2974,1,0,2012,2010,2004
6035,6021,5321,0.9392,0,2013,2012,2008
6038,5536,,0.9952,1,2013,2010,
6041,3567,,0.9965,0,2013,2004,
6042,4861,,0.8045,1,2013,2006,
6043,5640,5321,0.9787,1,2013,2010,2008
6044,4896,,0.9968,0,2013,2006,
6047,1605,5837,1,1,2013,2000,2011
6048,1678,5291,0.9998,0,2013,2002,2008
6049,5625,,0.979,1,2013,2010,
6050,3595,5292,1,1,2013,2005,2008
6051,5277,4933,0.9999,1,2013,2008,2006
6052,1826,,0.9999,1,2013,2003,
