offspring,mother,father,prob,SexEstimate,LayYear,MumLayYear,DadLayYear
1277,949,557,0.9997,1,1998,1995,1993
1278,171,,1,0,1998,1988,
1279,522,,0.9988,1,1996,1993,
1286,825,,0.998,1,1997,1994,
1287,441,1165,0.9983,1,1998,1992,1996
1288,635,636,0.9996,0,1998,1993,1993
1290,862,,0.8867,1,1998,1994,
1291,528,178,0.9976,0,1998,1993,1988
1294,1173,1041,0.9992,0,1998,1996,1995
1295,1403,849,0.9977,1,1997,1997,1994
1296,670,1211,1,1,1998,1993,1996
1297,1017,1018,1,0,1997,1992,1995
1298,1049,,1,0,1997,1996,
1300,1299,,1,0,1998,1996,
1301,530,637,1,1,1996,1993,1993
1302,641,637,1,1,1998,1993,1993
1304,677,550,0.9956,0,1997,1993,1993
1306,561,,0.9999,1,1998,1993,
1345,3134,,0.9271,0,1997,1996,
1347,3134,,0.9307,0,1997,1996,
1348,930,,1,1,1998,1994,
1349,596,1391,0.8934,1,1998,1993,1998
1355,3134,,0.9288,0,1997,1996,
1356,3134,,0.9326,1,1997,1996,
1357,853,865,1,1,1997,1994,1994
1358,1019,,0.8035,1,1998,1995,
1359,444,1166,0.9997,1,1998,1992,1996
1360,3134,,0.9323,1,1997,1996,
1361,628,,0.9998,0,1998,1993,
1362,199,609,0.9998,0,1998,1986,1993
1363,1049,776,0.9999,1,1998,1996,1994
1364,1173,,0.9975,0,1998,1996,
1365,869,453,0.9993,0,1998,1995,1992
1366,1158,,0.9681,0,1998,1996,
1367,912,922,0.997,1,1998,1994,1994
1368,932,216,0.9976,1,1997,1994,1988
1369,459,947,1,0,1997,1992,1994
1371,3134,1156,0.8902,0,1997,1996,1996
1380,3134,,0.9301,0,1997,1996,
1382,3134,,0.8795,0,1997,1996,
1383,604,,0.9945,0,1997,1993,
1385,604,,0.8314,0,1998,1993,
1387,308,,0.9999,0,1998,1990,
1388,1386,1274,0.9949,0,1998,1997,1996
1389,457,868,0.9994,0,1998,1992,1995
1391,596,,0.9989,1,1998,1993,
1392,3134,,0.9276,0,1997,1996,
1393,1345,,0.9984,0,1998,1997,
1394,832,,1,1,1998,1994,
1396,469,1202,0.8671,1,1998,1992,1997
1397,1347,494,0.9987,0,1998,1997,1990
1398,845,674,1,1,1998,1994,1993
1399,845,674,1,1,1998,1994,1993
1400,1401,,0.9998,0,1998,1997,
1402,1186,,0.9993,0,1998,1996,
1404,454,221,1,0,1997,1992,1988
1405,859,929,1,1,1998,1994,1994
1406,1403,849,0.9724,0,1998,1997,1994
1407,1026,1032,1,1,1998,1996,1996
1408,1017,1018,1,0,1998,1992,1995
1409,840,597,1,0,1998,1994,1994
1410,502,215,0.9995,0,1998,1993,1988
1411,169,890,0.802,0,1998,1988,1995
1413,927,501,1,1,1998,1994,1994
1414,447,1203,1,1,1998,1992,1996
1415,441,1165,0.9554,0,1998,1992,1996
1417,825,,0.9747,0,1998,1994,
1418,912,922,0.9993,0,1999,1994,1994
1419,912,922,0.9998,0,1999,1994,1994
1420,1347,494,0.9539,1,1999,1997,1990
1421,1345,,0.9997,0,1999,1997,
1422,1049,,0.9926,0,1999,1996,
1423,447,1203,0.9999,0,1999,1992,1996
1425,1403,849,0.9994,1,1999,1997,1994
1426,522,1360,0.9998,1,1999,1993,1997
1427,862,,0.9854,1,1999,1994,
1428,524,,0.9938,0,1999,1993,
1429,915,847,0.9999,0,1999,1994,1994
1431,561,467,1,0,1999,1993,1992
1432,504,44,0.9984,0,1999,1993,1986
1433,1222,501,0.9064,1,1999,1997,1994
