offspring,mother,father,prob
3594,1740,1187,1
3595,1893,NA,0.9973
3596,1401,1877,0.9992
3597,1170,3089,0.9825
3598,1438,1708,0.9994
3599,1697,1796,0.9867
3600,1760,1829,0.9999
3602,1193,1590,0.9983
3603,1559,2960,0.9962
3604,1725,NA,0.9883
3605,1195,1871,0.9999
3606,3003,NA,0.9787
3607,2984,2960,0.9989
3608,1705,1750,0.9998
3611,3508,NA,0.9999
3612,3009,1742,0.9997
3613,3508,NA,0.9996
3614,1757,NA,0.9933
3615,1857,1606,1
3616,1763,1287,0.9999
3617,1827,1783,1
3619,1429,1886,0.9999
3641,919,NA,0.9973
3642,1891,NA,0.9988
3643,1665,1623,1
3644,1580,NA,0.996
3645,1576,1512,0.9998
3646,1790,NA,0.9961
3647,2989,NA,0.9408
3648,1851,1199,0.9999
3649,1821,1504,0.9997
3651,1678,1412,1
3652,1024,1616,0.9992
3653,3094,1867,0.9383
3688,1791,1509,1
3689,1605,NA,0.9998
3691,1043,NA,0.9845
3692,1672,1533,1
3695,1437,NA,0.9964
3697,1753,NA,0.9999
3699,2968,1769,0.9999
3700,1678,1412,0.9999
3701,1043,1682,1
3742,3134,929,0.8019
3754,840,NA,0.9964
3755,3134,NA,0.9278
3758,925,NA,0.9986
3761,1235,1039,0.9874
3766,500,494,0.9995
3785,827,176,0.9994
3793,1173,1041,0.9985
3794,853,NA,0.9994
3810,530,637,0.9996
3829,675,846,0.9996
3831,1182,NA,0.9997
3844,639,1028,0.9493
3849,1043,1276,1
3863,925,837,1
3866,925,837,1
3944,1190,1191,0.9286
3946,774,1198,0.9996
3964,912,922,1
3976,840,597,1
3986,924,220,1
4017,447,NA,0.9987
4042,522,1360,0.9999
4057,833,NA,0.9997
4086,938,NA,0.9988
4255,454,NA,0.9657
4258,825,NA,0.9125
4262,1043,1306,0.9976
4266,912,1750,0.9983
4802,1155,1808,1
4803,1042,2990,0.8053
4804,3487,1543,0.9999
4805,3487,1543,0.9998
4829,912,1750,0.9997
4854,1740,1187,0.9999
4855,1605,497,0.9975
4860,1821,1504,1
4861,2989,NA,0.9701
4862,1717,1797,0.9229
4863,1429,1886,0.9997
4866,3002,1581,0.9981
4870,1536,NA,0.9997
4871,1805,1774,0.9543
4874,1763,2980,0.999
4875,1857,1606,0.9991
4876,1415,NA,0.9997
4877,1503,3489,0.9887
4879,3003,NA,0.9988
4882,3086,NA,0.9995
4883,1697,NA,0.8511
4884,1697,NA,0.9987
4885,1772,1729,1
4886,2963,1709,1
4887,1790,1731,0.9969
4888,1895,1754,1
4889,1740,1187,0.9996
4890,1510,2966,0.9998
4891,1852,3093,0.913
4892,3505,1774,0.9874
4893,845,1276,1
4894,1244,NA,0.9992
4895,1419,1795,1
4896,1779,NA,0.8543
4897,1824,NA,0.9921
4898,869,453,0.9997
4899,1782,NA,0.9969
4900,1538,NA,0.9631
4901,1024,1616,0.9993
4902,1506,NA,0.993
4903,1506,NA,0.995
4904,1854,1029,0.9803
4905,1821,1504,0.8273
4906,1193,NA,0.9958
4907,3507,1587,0.9995
4908,1170,1524,1
4910,3517,1593,0.9995
4911,3517,1593,1
4912,2963,NA,0.9959
4914,1580,NA,0.9998
4915,2963,NA,0.9915
4917,1826,1499,0.994
4919,1043,1682,0.9998
4933,3453,NA,0.9993
4934,3453,NA,0.9997
4935,1672,NA,1
4936,1827,1783,0.9999
4937,1827,NA,0.9409
4938,1791,1509,1
4939,1532,911,0.9248
4945,1803,1802,0.9948
4948,1437,NA,0.9968
4949,1491,NA,0.9999
4950,1491,NA,0.982
4951,3567,1604,1
4952,1437,1722,0.9863
4953,1789,NA,0.9997
4954,1672,1533,1
4956,1685,1608,1
4957,2982,NA,0.9968
4958,1172,1171,0.9992
4960,2968,1769,0.9556
4961,1361,1698,1
4962,1760,1829,1
4963,2968,1769,0.9996
4964,2959,1831,0.9998
4965,3094,1739,0.9985
4966,1559,1702,0.9992
4967,1501,NA,0.9615
4968,1503,NA,0.9974
4969,3500,2988,0.9993
4970,3487,1543,0.9593
4971,1669,1897,0.9998
4972,1155,1808,0.9969
4973,2968,NA,0.9227
4974,2968,1769,0.9996
4999,1757,1523,1
5000,3002,1581,0.9998
5071,1532,1804,0.917
5072,2985,1752,1
5073,3446,NA,0.9957
5074,1765,NA,0.947
5076,1800,1769,0.9999
5077,3505,NA,0.9949
5078,1614,1767,0.9998
5079,1716,NA,0.9993
5099,1753,1775,0.999
5117,3002,1581,0.9994
5119,1580,NA,0.975
5121,3698,1489,1
5123,1042,1577,0.9978
5125,2985,1752,1
5126,2985,1752,1
5127,1826,1499,0.9992
5128,1789,NA,0.9972
5129,1789,1869,1
5130,3090,3458,0.9996
5131,1193,2990,0.9987
5132,3698,NA,0.9571
5134,3085,1729,0.9992
5136,2963,NA,0.9931
5137,1776,NA,0.9973
5138,1532,911,0.9976
5140,1854,1029,1
5141,3487,1543,0.8809
5142,3449,2962,0.9999
5144,3608,1553,0.9995
5145,1716,NA,0.8699
5146,3567,1604,0.9937
5147,3497,1611,0.9997
5148,1172,1171,0.9969
5149,1757,NA,0.9201
5151,1438,1708,0.9959
5152,1438,1708,0.9999
5153,4907,NA,0.8421
5154,3507,NA,0.9991
5155,1361,1698,1
5156,1401,1788,0.9983
5157,4935,1524,0.9386
5160,1790,1731,0.9997
5161,1872,1777,0.9995
5163,1536,1787,0.9665
5166,930,3519,1
5168,3500,2988,0.9784
5169,3094,1739,0.998
5175,2978,NA,0.9837
5194,1419,1795,0.8873
5195,1740,NA,0.9993
5196,1605,NA,0.9518
5197,3085,1729,0.9999
5198,3462,3093,0.9961
5204,3569,3456,0.9991
5205,3604,1533,0.9982
5209,3616,3456,0.9714
5210,2989,NA,0.9775
5212,1895,1754,1
5213,1491,NA,0.9338
5216,3595,3457,1
5217,3596,NA,0.9036
5220,3517,NA,0.9208
5224,4878,1742,0.9991
5225,1438,1708,0.9198
5226,3574,4866,0.924
5235,1669,NA,0.9988
5236,2985,1752,1
5237,4896,2990,0.9957
5240,3699,1808,0.9983
5242,3698,NA,0.9913
5247,3608,1553,0.9998
5249,1782,1881,0.9639
5254,1678,1412,0.9998
5260,3491,NA,0.9996
5261,3641,NA,0.9988
5265,1790,1731,0.9979
5267,3518,3454,0.9998
5268,1438,1708,1
5269,3451,1801,0.9989
5271,1614,4902,1
5272,2968,NA,0.9998
5273,1536,4967,1
5275,1803,NA,0.9952
5276,2963,NA,0.9791
5277,4965,1616,0.9995
5279,1361,1698,0.9997
5281,3451,1801,0.9989
5282,930,3519,0.9968
5285,3606,1394,0.9977
5286,1532,911,0.9961
5287,1491,NA,0.9025
5288,3606,5285,0.9383
5289,1791,NA,0.999
5290,5079,NA,0.9362
5291,1043,NA,0.9856
5292,3022,NA,0.9971
5293,3022,3696,0.9988
5294,1757,1523,0.9658
5312,1854,1029,0.9946
5313,4964,NA,0.8966
5314,1821,1504,0.9974
5315,3449,4897,0.9992
5316,1824,4967,0.9998
5319,4868,1886,0.9993
5322,3453,1744,0.9991
5323,3002,1581,0.9983
5325,5075,5000,0.9989
5326,4935,NA,0.9931
5327,3086,4829,1
5332,1605,5071,1
5333,1857,3618,0.9878
5336,1042,1577,0.9994
5338,1798,2974,0.9997
5339,1826,1499,0.9947
5340,3491,5169,1
5342,2989,4887,1
5343,3086,NA,0.9974
5418,4871,4860,0.9965
5449,3604,1533,0.9992
5450,3490,NA,0.9998
5451,5128,NA,0.8427
5452,3695,1869,0.9984
5453,1763,NA,0.9377
5454,3462,3093,0.998
5455,1765,1752,1
5456,4958,4888,1
5457,4883,NA,0.9992
5458,3574,4866,0.9981
5459,3606,NA,0.8677
5460,4871,4860,0.9582
5461,1438,1708,0.9985
5462,1532,911,0.9899
5463,3002,NA,0.9576
5464,4935,NA,0.9725
5465,3444,4887,0.9997
5473,4912,NA,0.9043
5497,1438,1708,0.9964
5498,4868,1886,0.9974
5499,3451,1801,0.9999
5507,3094,NA,0.8566
5509,5123,1577,0.8488
5511,4863,1762,0.9896
5513,4973,NA,0.9697
5514,5320,1029,0.9995
5516,1864,1542,0.9993
