BloodID,BTN,TL,Objective,Whodunnit,ID,PlateID,BirdID,RightTarsus,LeftTarsus,BodyMass,EyeColour,LayYear,FieldPeriodID,OccasionID,OccasionDate,Ageclass,Status,BreedGroupID,TerritoryID,SexEstimate,MaxOfMaxOfSeenDate
3201,2210,8871.162874,7,EAF,1976,44,4889,26.1,,15.8,G,2006,75,1925,19/08/2006,CH,FL,3764,5,1,06/01/2007
3095,2104,4864.670484,3,EB,911,1,4855,23.1,,17.5,G,2006,75,1835,02/07/2006,FL,OFL,3766,8,0,07/01/2007
3134,2143,5200.876535,4,EB,934,31,1826,24.6,,16.9,RB,2003,75,1898,04/08/2006,A,BrF,3767,9,0,23/09/2015
3134,2143,4545.595494,7,EAF,1964,23,1826,24.6,,16.9,RB,2003,75,1898,04/08/2006,A,BrF,3767,9,0,23/09/2015
3134,2143,4635.745723,6,EAF,1532,21,1826,24.6,,16.9,RB,2003,75,1898,04/08/2006,A,BrF,3767,9,0,23/09/2015
3134,2143,5360.476426,6,EAF,1533,22,1826,24.6,,16.9,RB,2003,75,1898,04/08/2006,A,BrF,3767,9,0,23/09/2015
3135,2144,9501.117655,4,EB,935,31,1499,25.3,,,RB,1999,75,1898,04/08/2006,A,BrM,3767,9,1,19/02/2013
3248,2257,8662.471664,7,EAF,1989,23,4917,23.9,,16.1,G,2006,75,1946,12/09/2006,CH,FL,3767,9,0,07/09/2015
3248,2257,6890.625127,6,EAF,1584,22,4917,23.9,,16.1,G,2006,75,1946,12/09/2006,CH,FL,3767,9,0,07/09/2015
3248,2257,6999.928858,6,EAF,1583,21,4917,23.9,,16.1,G,2006,75,1946,12/09/2006,CH,FL,3767,9,0,07/09/2015
3137,2146,3675.751148,8,EAF,2516,23,1614,24.1,,14.5,RB,2001,75,1900,05/08/2006,A,BrF,3768,11,0,20/08/2008
3101,2110,5791.132559,3,EB,915,1,1607,24.8,,17.5,RB,2001,75,1840,06/07/2006,A,BrM,3770,13,1,26/02/2015
3101,2110,2848.330906,3,EB,916,87,1607,24.8,,17.5,RB,2001,75,1840,06/07/2006,A,BrM,3770,13,1,26/02/2015
3100,2109,5679.663911,8,EAF,2488,8,3463,25.4,,17.0,RB,2004,75,1841,06/07/2006,A,AB,3770,13,1,30/08/2007
3096,2105,3006.308551,3,EB,912,68,1589,23.4,,14.5,RB,2000,75,1838,04/07/2006,A,BrF,3772,15,0,14/08/2008
