mother,offspring,father,prob,LayYear,MumLayYear,DadLayYear
1782,3565,1881,1,2005,2002,2005
1491,3566,1356,1,2005,1999,2005
1757,3567,1523,1,2004,2001,2004
1782,3568,1881,0.999,2005,2002,2005
1763,3569,1287,0.56,2005,2002,2005
1779,3570,1796,1,2005,2002,2005
2975,3571,1611,1,2005,2004,2005
1506,3572,1720,1,2005,1999,2005
2975,3573,1611,1,2005,2004,2005
3090,3574,1381,1,2005,2004,2005
1824,3575,1795,1,2005,2003,2005
1864,3576,1848,0.999,2005,2003,2005
3022,3577,1489,0.953,2005,2004,2005
1685,3578,1608,1,2005,2002,2005
1536,3579,1512,0.999,2005,1999,2005
1854,3580,1029,1,2005,2003,2005
1200,3581,1553,1,2005,1996,2005
2963,3590,1796,0.992,2005,2003,2005
1532,3591,911,0.984,2005,1999,2005
2963,3592,1533,1,2005,2003,2005
1893,3593,1871,0.963,2005,2001,2005
1740,3594,1187,1,2005,2001,2005
1893,3595,1871,0.98,2005,2001,2005
1401,3596,1877,1,2005,1997,2005
1170,3597,1579,0.999,2005,1997,2005
1438,3598,1708,1,2005,1999,2005
1697,3599,1196,0.941,2005,2002,2005
1760,3600,1829,1,2005,2001,2005
1772,3601,1729,0.974,2005,2003,2005
1193,3602,1590,1,2005,1996,2005
1559,3603,2960,1,2005,1999,2005
1725,3604,1587,1,2005,2001,2005
1195,3605,1871,0.995,2005,1996,2005
3003,3606,1710,1,2005,2004,2005
2984,3607,2960,1,2005,2003,2005
1705,3608,1750,1,2005,2002,2005
3508,3611,1171,1,2005,2004,2005
3009,3612,1742,1,2005,2004,2005
3508,3613,1171,1,2005,2004,2005
1757,3614,1831,1,2005,2001,2005
1857,3615,1606,1,2005,2003,2005
1763,3616,1287,0.998,2005,2002,2005
1827,3617,1783,1,2005,2002,2005
1369,3618,1744,1,2004,1997,2004
1429,3619,1886,1,2005,1999,2005
919,3641,1616,1,2005,1994,2005
1891,3642,510,1,2005,2002,2005
1665,3643,1623,1,2005,2002,2005
1580,3644,1766,1,2005,2000,2005
1576,3645,1512,1,2005,2000,2005
1790,3646,2964,1,2005,2002,2005
2989,3647,1731,1,2005,2004,2005
1851,3648,1199,1,2005,2002,2005
1821,3649,1504,1,2005,2002,2005
1781,3650,1512,0.982,2005,2002,2005
1678,3651,1412,0.992,2005,2002,2005
1024,3652,1616,1,2005,1995,2005
1891,3653,1523,0.988,2005,2002,2005
1791,3688,1509,1,2005,2002,2005
1605,3689,911,0.999,2005,2000,2005
1589,3690,929,0.989,2005,2000,2005
1043,3691,1412,1,2005,1995,2005
1672,3692,1533,1,2005,2001,2005
1437,3695,1623,1,2005,1998,2005
1753,3697,1606,1,2005,2002,2005
3003,3698,1566,1,2004,2004,2004
2968,3699,1769,1,2005,2003,2005
1678,3700,1412,1,2005,2002,2005
1043,3701,1682,1,2005,1995,2005
1716,3702,1877,1,2005,2002,2005
1218,3745,544,0.979,1997,1996,1997
840,3754,495,0.999,1997,1994,1997
925,3758,922,0.984,1997,1994,1997
1235,3761,1039,1,1997,1996,1997
500,3766,494,1,1997,1991,1997
827,3785,176,0.905,1997,1994,1997
1173,3793,1041,1,1997,1996,1997
853,3794,634,0.891,1997,1994,1997
530,3810,637,0.997,1997,1993,1997
675,3829,846,1,1997,1993,1997
1182,3831,846,0.993,1997,1996,1997
912,3840,922,0.544,1998,1994,1998
639,3844,1028,0.68,1998,1994,1998
1043,3849,1276,1,1998,1995,1998
925,3863,837,1,1998,1994,1998
925,3866,837,1,1998,1994,1998
169,3871,890,0.779,1998,1988,1998
524,3877,1199,0.439,1998,1993,1998
524,3931,629,0.98,1998,1993,1998
1190,3944,1191,0.856,1998,1996,1998
774,3946,1198,0.999,1998,1994,1998
1418,3964,922,0.644,1999,1999,1999
840,3976,597,1,1999,1994,1999
924,3986,220,1,1999,1994,1999
1246,3987,609,1,1999,1996,1999
