BloodID,CqGAPDH,U_PlateID,CqTelomere,EffGAPDH,EffTelomere,RTL,ID,Whodunnit,BirdID,Ageclass,RightTarsus,LeftTarsus,BodyMass,EyeColour,LayYear,FieldPeriodID,OccasionID,OccasionDate,TerritoryID,Status,BreedGroupID,SexEstimate,MaxOfMaxOfSeenDate
2690,23.935,8_10,15.9865,1.929,1.8195,1.457447529,526,EAF,1358,SA,27.3,27.1,17.0,,1998,25,846,09/08/1998,77,H,238,1,11/12/2005
2726,23.6005,8_11,16.385,1.9505,1.833,0.760387329,545,EAF,602,A,26.5,26.4,17.0,,1993,25,864,29/08/1998,123,BrM,263,1,05/07/2001
2744,23.4405,8_13,16.9135,1.8995,1.825,0.721577318,591,EAF,638,A,24.7,24.6,14.8,,1993,25,872,09/09/1998,125,BrF,264,0,23/07/2002
2683,23.2655,8_19,15.5195,1.8985,1.7465,1.077034262,726,EAF,1382,A,24.5,24.4,14.8,,1997,25,844,07/08/1998,138,BrF,269,0,07/08/2000
2679,24.4285,8_1,17.677,1.9625,1.8435,0.639672394,501,EAF,1381,A,24.8,24.8,15.6,,1997,25,841,05/08/1998,138,H,269,1,10/12/2005
700,23.281,7_25,16.6045,1.879,1.7565,0.471676451,84,EAF,1019,A,,,15.1,,1995,26,888,19/01/1999,77,BrF,297,0,19/01/1999
700,23.3005,7_26,16.453,1.8625,1.776,0.489858395,105,EAF,1019,A,,,15.1,,1995,26,888,19/01/1999,77,BrF,297,0,19/01/1999
699,23.406,7_38,17.3805,1.9455,1.81,0.386857241,349,EAF,450,A,23.7,23.4,15.5,,1992,26,887,18/01/1999,84,BrF,2444,0,02/12/1999
708,23.6495,8_17,16.1245,1.91,1.8145,1.338988849,694,EAF,1430,A,26.5,26.4,15.1,,1997,26,893,24/01/1999,100,SEEN1,2451,1,27/07/2002
718,24.9115,8_17,16.905,1.8925,1.801,1.885405727,695,EAF,1420,FL,26.3,25.9,11.9,,1999,27,898,15/04/1999,40,FL,324,1,15/04/1999
718,24.769,8_7,18.421,1.8945,1.784,0.642870043,1282,EAF,1420,FL,26.3,25.9,11.9,,1999,27,898,15/04/1999,40,FL,324,1,15/04/1999
725,23.467,8_14,15.8475,1.8885,1.7735,1.427712043,628,EAF,1426,FL,25.9,25,,,1999,27,905,29/04/1999,86,FL,335,1,09/08/1999
723,22.941,8_25,15.0725,1.882,1.757,1.053637216,848,EAF,1424,FL,26.3,26.2,13.0,,1999,27,902,20/04/1999,95,FL,338,1,20/04/1999
723,23.072,8_31,16.444,1.8925,1.7845,0.626380685,1001,EAF,1424,FL,26.3,26.2,13.0,,1999,27,902,20/04/1999,95,FL,338,1,20/04/1999
724,23.6465,8_12,17.4415,1.9105,1.8025,0.870459906,584,EAF,1425,FL,25.9,25.4,14.7,,1999,27,904,28/04/1999,101,FL,340,1,06/09/2002
723,22.941,8_25,15.0725,1.882,1.757,1.053637216,848,EAF,1424,FL,26.3,26.2,13.0,,1999,27,902,20/04/1999,117,FL,343,1,20/04/1999
723,23.072,8_31,16.444,1.8925,1.7845,0.626380685,1001,EAF,1424,FL,26.3,26.2,13.0,,1999,27,902,20/04/1999,117,FL,343,1,20/04/1999
817,23.4555,8_13,16.2985,1.8965,1.804,1.048863856,607,EAF,1500,J,,,16.5,,1999,28,980,17/09/1999,42,ABX,376,1,26/07/2006
739,23.513,7_35,14.7235,1.91,1.804,1.554869975,283,EAF,1441,CH,,, 6.9,,1999,28,938,17/07/1999,54,XF,385,1,17/12/2003
812,23.6165,8_33,16.3435,1.885,1.81,0.953504347,1044,EAF,1523,OFL,26.8,26.5,17.4,,1999,28,977,11/09/1999,57,OFL,387,1,31/01/2013
767,23.333,7_23,16.1325,1.8905,1.8035,0.795237852,44,EAF,1498,CH,25.6,25.2,16.4,,1999,28,953,15/08/1999,63,XF,391,1,20/11/1999
756,23.542,8_7,16.766,1.871,1.8195,0.767247015,1283,EAF,1490,SA,25.2,25,15.8,LB,1999,28,946,05/08/1999,78,ABX,2546,0,22/07/2006
765,23.458,8_33,16.6135,1.8485,1.792,0.736720675,1043,EAF,1497,J,25.5,25.2,15.6,,1999,28,952,14/08/1999,147,H,433,1,08/09/1999
823,23.7155,8_1,16.543,1.948,1.854,0.792895234,519,EAF,1544,OFL,23.7,24.6,13.8,,1999,29,985,20/11/1999,1,OFL,2553,0,04/12/1999
851,23.6275,8_10,15.9725,1.954,1.8475,1.207500316,542,EAF,1556,FL,26.1,26.7,13.5,,1999,29,1004,02/12/1999,60,FL,2567,1,06/12/1999
829,22.9455,8_30,16.069,1.9465,1.7915,0.656691743,979,EAF,1548,FL,25.9,24.9,,,1999,29,986,21/11/1999,127,FL,2576,0,30/11/1999
828,24.4155,8_12,19.219,1.9035,1.817,0.491796339,585,EAF,1547,J,24.1,24.2,14.2,,1999,29,987,21/11/1999,127,U,2576,0,21/11/1999
828,23.874,8_26,18.974,1.8575,1.762,0.254374432,870,EAF,1547,J,24.1,24.2,14.2,,1999,29,987,21/11/1999,127,U,2576,0,21/11/1999
828,24.458,8_32,19.8305,1.891,1.826,0.180088937,1022,EAF,1547,J,24.1,24.2,14.2,,1999,29,987,21/11/1999,127,U,2576,0,21/11/1999
2285,23.636,8_17,15.6355,1.8925,1.759,1.720987788,676,EAF,495,A,,24.9,16.8,,1993,19,437,05/06/1995,5,SEEN1,2081,1,01/07/2001
2285,23.663,7_36,15.805,1.919,1.8085,1.176998861,286,EAF,495,A,,24.9,16.8,,1993,19,437,05/06/1995,5,SEEN1,2081,1,01/07/2001
2285,23.683,8_12,16.146,1.8905,1.786,1.892601299,566,EAF,495,A,,24.9,16.8,,1993,19,437,05/06/1995,5,SEEN1,2081,1,01/07/2001
2285,23.619,7_46,16.1355,1.906,1.798,0.727376471,485,EAF,495,A,,24.9,16.8,,1993,19,437,05/06/1995,5,SEEN1,2081,1,01/07/2001
2189,23.2745,7_45,16.0885,1.8715,1.7845,0.673816668,461,EAF,595,A,,25.4,15.3,,1993,19,436,05/06/1995,9,BrF,2083,0,18/12/2004
2285,23.636,8_17,15.6355,1.8925,1.759,1.720987788,676,EAF,495,A,,24.9,16.8,,1993,19,437,05/06/1995,9,BrM,2083,1,01/07/2001
2285,23.663,7_36,15.805,1.919,1.8085,1.176998861,286,EAF,495,A,,24.9,16.8,,1993,19,437,05/06/1995,9,BrM,2083,1,01/07/2001
2285,23.683,8_12,16.146,1.8905,1.786,1.892601299,566,EAF,495,A,,24.9,16.8,,1993,19,437,05/06/1995,9,BrM,2083,1,01/07/2001
2285,23.619,7_46,16.1355,1.906,1.798,0.727376471,485,EAF,495,A,,24.9,16.8,,1993,19,437,05/06/1995,9,BrM,2083,1,01/07/2001
2292,23.6,8_16,16.368,1.9285,1.774,1.011112852,654,EAF,927,A,,24.9,15.2,,1994,19,443,08/06/1995,13,H,2085,0,27/12/2003
2276,22.9,7_40,15.76,1.9005,1.8235,0.75099623,374,EAF,494,A,,25.4,16.2,,1990,19,428,31/05/1995,40,BrM,2100,1,30/06/2001
2276,22.835,7_46,15.838,1.9485,1.8165,0.5079299,484,EAF,494,A,,25.4,16.2,,1990,19,428,31/05/1995,40,BrM,2100,1,30/06/2001
2276,22.699,8_19,15.62,1.9735,1.7725,0.698520968,722,EAF,494,A,,25.4,16.2,,1990,19,428,31/05/1995,40,BrM,2100,1,30/06/2001
2190,22.911,7_31,14.5125,1.9095,1.8035,1.368990364,176,EAF,442,A,,24.1,14.3,,1992,19,444,09/06/1995,41,H,2101,0,03/01/2004
2294,23.596,8_33,15.7835,1.91,1.8135,1.319357048,1024,EAF,929,A,,27,16.3,,1994,19,445,09/06/1995,41,BrM,2101,1,03/12/2005
2215,27.071,8_10,18.969,1.9425,1.8195,1.96272608,524,EAF,176,A,,26.1,16.5,,1988,19,467,21/06/1995,63,BrM,2115,1,12/06/2003
