Objective,PlateID,BloodID,U_PlateID,CqGAPDH,CqTelomere,EffGAPDH,EffTelomere,RTL,ID,Whodunnit,BirdID,Ageclass,RightTarsus,LeftTarsus,BodyMass,EyeColour,LayYear,FieldPeriodID,OccasionID,OccasionDate,TerritoryID,Status,BreedGroupID,SexEstimate,MaxOfMaxOfSeenDate
6,19,910,6_19,23.522,13.6235,1.9125,1.765,0.991344043,85,EAF,1429,A,,,,,1999,39,4583,07/08/2000,134,BrF,3116,0,27/07/2006
6,12,910,6_12,23.80666667,13.984,1.923,1.753,1.266594938,23,EAF,1429,A,,,,,1999,39,4583,07/08/2000,134,BrF,3116,0,27/07/2006
5,16,906,5_16,21.87233333,10.85533333,1.951666667,1.824333333,0.901980881,3576,EB,1588,OFL,23.5,23.5,13.8,,2000,39,4583,07/08/2000,134,OFL,3116,0,25/06/2004
8,38,908,8_38,23.733,16.412,1.878,1.769,1.231095261,1487,EAF,847,A,25.0,25,15.0,,1994,39,4583,07/08/2000,138,BrM,3118,1,07/08/2000
8,24,908,8_24,23.09,15.7905,1.9285,1.781,1.068734526,1172,EAF,847,A,25.0,25,15.0,,1994,39,4583,07/08/2000,138,BrM,3118,1,07/08/2000
8,5,909,8_5,23.262,17.3205,1.861,1.793,0.535133769,1571,EAF,1382,A,,,,,1997,39,4583,07/08/2000,138,BrF,3118,0,07/08/2000
5,16,907,5_16,24.26433333,13.85766667,1.902666667,1.832666667,0.69861041,3577,EB,1589,OFL,23.9,23.1,14.1,,2000,39,4583,07/08/2000,138,OFL,3118,0,14/08/2008
1,38,905,1_38,23.70866667,13.58433333,1.990333333,1.648,0.99504613,2529,EB,1587,A,25.6,25.5,16.4,,1999,39,4583,07/08/2000,144,BrM,3121,1,13/01/2007
8,14,918,8_14,24.4895,17.9,1.8805,1.829,0.816702346,986,EAF,1395,A,,,,,1997,39,1025,11/08/2000,166,BrM,3128,1,04/01/2005
7,25,919,7_25,23.3885,15.7925,1.909,1.8775,0.811793115,469,EAF,1416,A,,,,,1998,39,1025,11/08/2000,168,BrM,3129,1,11/08/2000
7,26,919,7_26,23.4195,15.9315,1.9505,1.851,0.693750179,488,EAF,1416,A,,,,,1998,39,1025,11/08/2000,168,BrM,3129,1,11/08/2000
5,17,916,5_17,21.78066667,11.621,1.971333333,1.809666667,0.871659533,3588,EB,1595,OFL,24.5,24.6,15.4,,2000,39,1025,11/08/2000,168,OFL,3129,1,14/07/2007
6,29,925,6_29,23.221,12.677,1.962,1.7725,1.032865633,252,EAF,1600,CH,,,11.8,,2000,39,1027,13/08/2000,171,CH,3131,1,05/07/2001
5,17,925,5_17,22.623,12.01866667,1.959,1.799666667,1.21727666,3593,EB,1600,CH,,,11.8,,2000,39,1027,13/08/2000,171,CH,3131,1,05/07/2001
5,15,885,5_15,23.49233333,12.89866667,1.939333333,1.807666667,0.850431513,3566,EB,1504,SA,27.4,27.2,15.7,,1999,39,1019,02/08/2000,-3,FLOAT,7026,1,24/08/2010
5,16,914,5_16,20.83833333,10.19133333,1.980333333,1.780666667,0.633249904,3581,EB,1593,FL,25.4,25,15.6,,2000,39,1025,11/08/2000,-3,FLOAT,7026,1,30/08/2008
1,2,2470,1_2,23.54533333,12.82533333,1.953333333,1.718333333,1.503397359,2374,EB,912,A,24.5,24.1,14.6,,1994,22,676,06/07/1997,1,BrF,15,0,30/07/2008
1,32,2492,1_32,24.10333333,15.36333333,1.890333333,1.585666667,0.584868223,2460,EB,1151,A,26.2,26.1,15.9,,1996,22,668,04/07/1997,1,SEEN1,15,1,16/08/1999
1,2,2415,1_2,23.832,13.68633333,1.949,1.671666667,1.092580518,2372,EB,1163,SA,26.6,26.9,16.1,,1996,22,670,05/07/1997,1,SEEN2,15,1,05/07/1997
1,35,2537,1_35,24.487,14.78233333,1.909666667,1.704,0.814156307,2495,EB,596,A,23.7,23.8,13.9,,1993,22,689,13/07/1997,8,BrF,19,0,27/08/1999
1,5,2537,1_5,24.11633333,14.45566667,1.959333333,1.735,3677.631149,2560,EB,596,A,23.7,23.8,13.9,,1993,22,689,13/07/1997,8,BrF,19,0,27/08/1999
1,36,2538,1_36,24.29566667,14.843,1.884,1.627,1.207871041,2501,EB,497,A,27.0,27.1,16.9,,1993,22,689,13/07/1997,8,BrM,19,1,31/08/2007
1,34,2536,1_34,25.06633333,16.41333333,1.869333333,1.645333333,0.534039088,2480,EB,1187,SA,26.8,26.7,14.6,,1996,22,689,13/07/1997,8,SEEN1,19,1,05/09/2010
8,18,2406,8_18,23.1615,15.3195,1.8835,1.754,1.35932506,1053,EAF,1219,SA,24.5,24.4,12.6,,1996,22,715,26/07/1997,14,H,22,0,21/06/1998
8,12,2407,8_12,23.191,15.937,1.9215,1.8375,1.602271126,926,EAF,458,A,25.4,25.3,13.2,,1992,22,715,26/07/1997,14,BrF,22,0,13/08/2005
8,3,2409,8_3,23.6185,17.346,1.9705,1.773,0.636725005,1281,EAF,499,A,25.0,25,16.0,,1993,22,715,26/07/1997,14,BrM,22,1,04/07/2006
8,3,2433,8_3,23.8615,16.9955,1.936,1.806,0.913209425,1282,EAF,1210,CH,24.1,26.4,14.9,,1997,22,727,02/08/1997,14,FL,22,0,02/08/1997
7,42,2408,7_42,22.94,14.639,2.021,1.8665,1.047260322,768,EAF,1042,A,25.3,25.4,,,1996,22,715,26/07/1997,14,SEEN1,22,0,30/06/2015
1,34,2459,1_34,24.08533333,16.61133333,1.892,1.568666667,0.265422786,2479,EB,1042,A,25.3,25.2,14.6,,1996,22,674,06/07/1997,14,SEEN1,22,0,30/06/2015
8,10,2459,8_10,23.111,15.592,1.961,1.8565,1.081115779,886,EAF,1042,A,25.3,25.2,14.6,,1996,22,674,06/07/1997,14,SEEN1,22,0,30/06/2015
1,8,2558,1_8,24.067,13.23766667,1.864666667,1.718333333,1.453790793,2570,EB,1186,A,24.9,24.8,15.2,,1996,22,698,16/07/1997,20,SEEN1,25,0,20/07/2002
8,5,2416,8_5,22.9755,15.7815,1.76,1.758,1.127101872,1553,EAF,1224,OFL,25.4,25.3,12.9,,1997,22,718,27/07/1997,24,OFL,2302,1,07/09/1998
5,1,2416,5_1,22.37666667,11.84966667,1.877333333,1.738666667,0.976582888,3510,EB,1224,OFL,25.4,25.3,12.9,,1997,22,718,27/07/1997,24,OFL,2302,1,07/09/1998
1,37,2450,1_37,25.14433333,14.894,1.861666667,1.657333333,1.275819096,2513,EB,1235,A,25.2,25,16.0,,1996,22,734,08/08/1997,27,BrF,30,0,16/09/1998
1,33,2450,1_33,25.15766667,15.10866667,1.851666667,1.618666667,1.837273931,2468,EB,1235,A,25.2,25,16.0,,1996,22,734,08/08/1997,27,BrF,30,0,16/09/1998
1,34,2450,1_34,23.753,14.08466667,2.000666667,1.562333333,0.596801145,2478,EB,1235,A,25.2,25,16.0,,1996,22,734,08/08/1997,27,BrF,30,0,16/09/1998
1,5,2528,1_5,26.643,15.503,2.237,1.706,11630.38154,2555,EB,1045,A,25.1,24.8,12.5,,1996,22,685,11/07/1997,33,SEEN1,34,1,08/07/2001
1,35,2528,1_35,26.98233333,17.093,2.009,1.706666667,1.261932902,2489,EB,1045,A,25.1,24.8,12.5,,1996,22,685,11/07/1997,33,SEEN1,34,1,08/07/2001
1,32,2492,1_32,24.10333333,15.36333333,1.890333333,1.585666667,0.584868223,2460,EB,1151,A,26.2,26.1,15.9,,1996,22,668,04/07/1997,35,BrM,2303,1,16/08/1999
1,9,2565,1_9,24.58966667,14.18766667,1.919333333,1.735,1.703625661,2579,EB,441,A,25.4,25.1,15.6,,1992,22,701,20/07/1997,38,BrF,35,0,08/01/2007
7,42,2408,7_42,22.94,14.639,2.021,1.8665,1.047260322,768,EAF,1042,A,25.3,25.4,,,1996,22,715,26/07/1997,38,SEEN1,35,0,30/06/2015
1,34,2459,1_34,24.08533333,16.61133333,1.892,1.568666667,0.265422786,2479,EB,1042,A,25.3,25.2,14.6,,1996,22,674,06/07/1997,38,SEEN1,35,0,30/06/2015
8,10,2459,8_10,23.111,15.592,1.961,1.8565,1.081115779,886,EAF,1042,A,25.3,25.2,14.6,,1996,22,674,06/07/1997,38,SEEN1,35,0,30/06/2015
1,32,2448,1_32,24.679,13.953,1.933333333,1.648333333,1.750810397,2459,EB,1164,A,26.0,26,16.0,,1996,22,671,05/07/1997,40,SEEN1,36,1,20/08/1999
1,37,2448,1_37,24.55466667,15.062,1.918,1.604,0.764113854,2512,EB,1164,A,26.0,26,16.0,,1996,22,671,05/07/1997,40,SEEN1,36,1,20/08/1999
1,32,2492,1_32,24.10333333,15.36333333,1.890333333,1.585666667,0.584868223,2460,EB,1151,A,26.2,26.1,15.9,,1996,22,668,04/07/1997,40,SEEN2,36,1,16/08/1999
1,2,2426,1_2,23.702,13.351,1.946666667,1.703333333,1.239212222,2373,EB,609,A,26.4,26.4,14.3,,1993,22,673,05/07/1997,42,BrM,37,1,20/11/2005
1,2,2481,1_2,23.40933333,12.64933333,1.826333333,1.642333333,1.485624089,2375,EB,1156,A,26.1,25.7,15.5,,1996,22,675,06/07/1997,45,ABX,39,1,09/07/2001
1,12,2412,1_12,23.92866667,14.18,1.932666667,1.663333333,0.896382249,2340,EB,221,A,28.1,27.8,16.9,,1988,22,716,26/07/1997,45,BrM,39,1,20/11/2005
1,8,2559,1_8,23.797,13.30866667,1.886666667,1.730666667,1.181638649,2571,EB,921,A,24.6,24.9,16.8,,1994,22,698,16/07/1997,47,BrM,40,1,15/12/2003
1,8,2558,1_8,24.067,13.23766667,1.864666667,1.718333333,1.453790793,2570,EB,1186,A,24.9,24.8,15.2,,1996,22,698,16/07/1997,47,SEEN1,40,0,20/07/2002
1,34,2424,1_34,26.20266667,16.744,2.113333333,1.663666667,0.97370841,2477,EB,1212,A,25.7,25.6,15.4,,1996,22,723,29/07/1997,48,BrM,41,1,30/08/1999
5,18,2463,5_18,22.047,12.839,1.884666667,1.81,0.348894536,3595,EB,1213,CH,25.6,25.2,15.8,,1997,22,741,12/08/1997,48,FL,41,1,22/12/2004
1,10,2582,1_10,24.25666667,13.176,1.941666667,1.712333333,1.885289373,2334,EB,828,A,27.2,26.9,16.8,,1994,22,709,23/07/1997,51,ABX,43,1,16/09/1998
8,20,2583,8_20,23.1675,15.215,1.832,1.726,1.534435705,1094,EAF,51,A,25.9,25.6,15.6,,1986,22,712,24/07/1997,51,BrM,43,1,01/08/2003
1,2,2491,1_2,24.07933333,13.971,1.883,1.677666667,1.156445421,2377,EB,449,A,25.6,25.5,15.4,,,22,677,06/07/1997,52,BrF,44,0,06/12/1999
1,2,2490,1_2,26.282,16.33733333,1.870666667,1.704333333,1.3394866,2376,EB,1157,A,26.8,27.1,17.0,,1996,22,675,06/07/1997,52,BrM,44,1,19/02/1998
7,30,2493,7_30,23.0135,15.0865,1.953,1.811,0.963584182,535,EAF,932,A,24.0,24.2,14.4,,1994,22,677,06/07/1997,53,H,45,0,04/07/2003
5,1,2466,5_1,23.76833333,13.251,1.953,1.796333333,1.089345718,3514,EB,1216,OFL,24.9,24.3,14.3,,1997,22,743,13/08/1997,53,OFL,45,0,13/09/1998
8,8,2501,8_8,23.318,15.4215,1.9345,1.8265,1.18234604,1614,EAF,216,A,27.0,26.7,17.5,,1988,22,677,06/07/1997,53,BrM,45,1,02/12/1999
1,33,2484,1_33,25.11033333,15.69566667,1.863666667,1.638333333,1.366160183,2470,EB,1030,SA,25.2,25.4,16.6,,1996,22,751,21/08/1997,55,ABX,47,1,21/08/1997
1,37,2484,1_37,24.34866667,14.262,1.991333333,1.615333333,0.940834167,2515,EB,1030,SA,25.2,25.4,16.6,,1996,22,751,21/08/1997,55,ABX,47,1,21/08/1997
1,12,2414,1_12,24.20466667,14.06733333,1.939333333,1.678,1.149155682,2341,EB,65,A,25.9,25.9,18.6,,1987,22,717,26/07/1997,56,BrM,48,1,12/03/1998
1,34,2422,1_34,25.03833333,16.09266667,1.895333333,1.668666667,0.608756134,2476,EB,163,A,24.2,24.2,14.8,,1987,22,722,28/07/1997,59,ABX,50,0,12/09/1998
1,33,2422,1_33,24.29566667,14.843,1.884,1.627,1.207871041,2466,EB,163,A,24.2,24.2,14.8,,1987,22,722,28/07/1997,59,ABX,50,0,12/09/1998
1,12,2418,1_12,23.838,13.832,1.857333333,1.673333333,1.069711672,2342,EB,850,A,23.9,23.5,13.4,,1994,22,719,27/07/1997,59,BrF,50,0,03/08/1997
1,38,2419,1_38,23.98133333,13.93566667,1.889,1.666,1.119863106,2524,EB,1130,A,23.7,23.6,13.7,,,22,720,27/07/1997,59,SEEN2,50,0,02/12/1999
1,37,2411,1_37,24.231,14.55533333,1.869666667,1.667333333,0.860348075,2511,EB,606,A,25.5,25.2,16.5,,1993,22,717,26/07/1997,62,BrM,52,1,05/03/1998
1,32,2411,1_32,24.35633333,14.65366667,2.112666667,1.656,0.874490697,2458,EB,606,A,25.5,25.2,16.5,,1993,22,717,26/07/1997,62,BrM,52,1,05/03/1998
1,33,2483,1_33,24.90466667,14.764,1.854666667,1.62,1.856761313,2469,EB,1032,SA,25.8,26,16.4,,1996,22,751,21/08/1997,63,H,53,1,10/07/2001
1,9,2564,1_9,24.18266667,14.091,1.945333333,1.706666667,1.342110377,2578,EB,1200,A,24.7,24.3,15.7,,1996,22,700,17/07/1997,68,ABX,56,0,19/07/2006
1,34,2549,1_34,24.59366667,15.245,1.95,1.652,0.680741824,2481,EB,1193,A,25.4,25.3,15.8,,1996,22,691,14/07/1997,69,BrF,57,0,23/08/2007
1,40,2549,1_40,26.82033333,16.159,2.026666667,1.698333333,1.175145728,2547,EB,1193,A,25.4,25.3,15.8,,1996,22,691,14/07/1997,69,BrF,57,0,23/08/2007
1,9,2561,1_9,24.43666667,14.362,2.165,1.696333333,1.33017186,2577,EB,1178,A,26.3,25,15.7,,1996,22,697,16/07/1997,69,BrM,57,1,05/08/1999
1,9,2567,1_9,24.833,14.301,1.995666667,1.722,1.872046436,2580,EB,1036,A,23.7,23.5,15.7,,1995,22,702,21/07/1997,72,TBRF,59,0,09/01/1998
1,8,2558,1_8,24.067,13.23766667,1.864666667,1.718333333,1.453790793,2570,EB,1186,A,24.9,24.8,15.2,,1996,22,698,16/07/1997,72,BrF,59,0,20/07/2002
1,9,2568,1_9,24.41733333,14.06166667,1.895666667,1.710333333,1.609371915,2581,EB,1184,A,25.9,26,15.5,,1996,22,702,21/07/1997,72,BrM,59,1,05/07/2001
1,33,2443,1_33,24.74666667,15.80033333,1.842,1.585666667,0.994216777,2467,EB,1061,A,26.3,26.1,15.3,,1996,22,732,07/08/1997,76,H,62,1,16/03/1998
6,30,2441,6_30,23.324,12.098,1.8705,1.6675,1.446962074,257,EAF,1215,CH,26.0,26,17.0,,1997,22,731,07/08/1997,76,XF,62,1,06/12/1999
5,1,2441,5_1,23.67433333,12.60533333,1.858666667,1.746333333,1.432503679,3512,EB,1215,CH,26.0,26,17.0,,1997,22,731,07/08/1997,76,XF,62,1,06/12/1999
1,29,2517,1_29,33.36633333,24.97566667,1.984,1.702666667,1.979122901,2438,EB,1019,A,25.2,25.1,15.0,,1995,22,684,10/07/1997,77,H,63,0,19/01/1999
1,35,2534,1_35,23.922,13.64366667,1.881,1.687,1.041654108,2493,EB,1173,A,25.0,24.7,14.8,,1996,22,687,12/07/1997,80,BrF,64,0,08/07/2001
1,10,2579,1_10,23.92933333,13.18266667,1.875,1.690333333,1.514939763,2333,EB,1041,A,27.4,27,18.0,,1995,22,707,23/07/1997,80,BrM,64,1,18/01/1999
1,36,2524,1_36,23.785,14.24566667,1.869333333,1.614,1.159186621,2500,EB,1047,SA,24.3,24.2,15.5,,1996,22,685,11/07/1997,81,ABX,65,1,20/11/1999
1,35,2535,1_35,25.15366667,14.79066667,1.878333333,1.697666667,1.256266978,2494,EB,1174,A,26.2,26.1,16.1,,1996,22,687,12/07/1997,86,BrM,2305,1,14/08/1997
1,5,2535,1_5,24.69366667,13.32666667,1.917,1.735,10078.32281,2559,EB,1174,A,26.2,26.1,16.1,,1996,22,687,12/07/1997,86,BrM,2305,1,14/08/1997
1,10,2576,1_10,23.28433333,12.70333333,1.847,1.7,1.339551308,2331,EB,951,A,,,,,1995,22,708,23/07/1997,88,BrF,69,0,21/07/2002
1,10,2578,1_10,23.77266667,12.64733333,1.871,1.661,1.75610155,2332,EB,1196,A,26.6,26.6,17.3,,1996,22,708,23/07/1997,88,BrM,69,1,04/09/2009
7,37,2444,7_37,23.731,16.198,1.9065,1.842,0.987589503,681,EAF,1234,FL,27.1,26.7,16.8,,1997,22,733,07/08/1997,89,FL,70,1,02/12/1999
5,1,2444,5_1,22.93766667,12.45666667,2.046333333,1.886,0.989562976,3513,EB,1234,FL,27.1,26.7,16.8,,1997,22,733,07/08/1997,89,FL,70,1,02/12/1999
1,33,2486,1_33,24.11233333,13.484,1.853,1.634666667,2.191436372,2471,EB,1243,SA,26.1,25.9,15.9,,1996,22,750,21/08/1997,90,SEEN1,71,1,24/08/1999
1,10,2575,1_10,23.72466667,13.01733333,1.905666667,1.681,1.419670162,2330,EB,1195,SA,24.1,24.2,14.5,,1996,22,707,23/07/1997,94,H,72,0,07/09/2010
8,5,2584,8_5,23.7515,17.0225,1.913,1.8225,0.859467546,1554,EAF,525,A,26.4,26.4,17.6,,1993,22,710,24/07/1997,99,BrM,74,1,13/09/1999
8,8,2434,8_8,22.89,15.219,1.6525,1.6915,1.088086,1613,EAF,1225,SA,23.6,23.6,13.7,,1997,22,728,03/08/1997,102,SEEN1,76,0,06/01/1998
5,1,2434,5_1,21.98433333,12.08233333,1.783333333,1.681333333,0.690802118,3511,EB,1225,SA,23.6,23.6,13.7,,1997,22,728,03/08/1997,102,SEEN1,76,0,06/01/1998
1,29,2513,1_29,27.65933333,20.42666667,1.979333333,1.695,0.45259464,2437,EB,530,A,24.5,24.6,14.1,,1993,22,682,09/07/1997,104,BrF,78,0,12/02/1998
1,29,2581,1_29,24.656,14.869,1.88,1.653666667,1.111530275,2441,EB,1211,A,26.2,25.9,15.8,,1996,22,710,24/07/1997,105,BrM,79,1,06/08/1998
7,25,2504,7_25,23.126,16.0415,1.956,1.8505,0.569641202,453,EAF,1166,SA,25.7,25.4,16.0,,1996,22,674,06/07/1997,108,BrM,81,1,30/08/2004
7,26,2504,7_26,23.246,16.4325,1.905,1.863,0.463165668,474,EAF,1166,SA,25.7,25.4,16.0,,1996,22,674,06/07/1997,108,BrM,81,1,30/08/2004
1,33,2443,1_33,24.74666667,15.80033333,1.842,1.585666667,0.994216777,2467,EB,1061,A,26.3,26.1,15.3,,1996,22,732,07/08/1997,109,SEEN1,82,1,16/03/1998
1,36,2547,1_36,24.90466667,14.764,1.854666667,1.62,1.856761313,2504,EB,1017,A,24.2,23.8,14.5,,1992,22,692,14/07/1997,110,BrF,83,0,23/05/2004
1,29,2547,1_29,27.27966667,18.096,1.852333333,1.676,1.09717517,2440,EB,1017,A,24.2,23.8,14.5,,1992,22,692,14/07/1997,110,BrF,83,0,23/05/2004
