"BloodID","TL","BTN","Whodunnit","Objective","PlateID"
"3784",3475.982254,"2471","EB",NA,NA
"3784",3475.982254,"2471","EB",NA,NA
"4464",3477.648939,"3282","EB",NA,NA
"764",3483.370369,"536","EB",NA,NA
"764",3483.370369,"536","EB",NA,NA
"267",3484.281519,"1271","EB",NA,NA
"132",3503.794881,"1131","EB",NA,NA
"627",3507.646859,"1647","EB",NA,NA
"627",3507.646859,"1647","EB",NA,NA
"2589",3508.536995,"208","EB",NA,NA
"3806",3512.266248,"2485","EB",NA,NA
"3806",3512.266248,"2485","EB",NA,NA
"4297",3519.434669,"3279","EB",NA,NA
"650",3537.27117,"1670","EB",NA,NA
"3997",3537.965599,"3043","EB",NA,NA
"4084",3542.603036,"3177","EB",NA,NA
"1028",3543.772075,"879","EB",NA,NA
"3902",3549.486479,"2776","EB",NA,NA
"452",3552.215239,"1463","EB",NA,NA
"2765",3561.793443,"412","EB",NA,NA
"2765",3561.793443,"412","EB",NA,NA
"906",3567.000447,"697","EB",NA,NA
"3835",3567.929266,"2665","EB",NA,NA
"4040",3568.08058,"2962","EB",NA,NA
"4040",3568.08058,"2962","EB",NA,NA
"3854",3572.127494,"2704","EB",NA,NA
"4254",3572.818969,"3128","EB",NA,NA
"1123",3573.644253,"973","EB",NA,NA
"1145",3573.721566,"995","EB",NA,NA
"3156",3581.025934,"2165","EB",NA,NA
"3876",3581.98721,"2741","EB",NA,NA
"870",3583.653042,"661","EB",NA,NA
"4118",3584.99943,"3223","EB",NA,NA
"4118",3584.99943,"3223","EB",NA,NA
"4189",3585.46966,"3076","EB",NA,NA
"892",3592.732529,"683","EB",NA,NA
"3840",3594.679262,"2679","EB",NA,NA
"1025",3595.942718,"876","EB",NA,NA
"4269",3597.400086,"3254","EB",NA,NA
"52",3599.831419,"1051","EB",NA,NA
"52",3599.831419,"1051","EB",NA,NA
"791",3599.933216,"568","EB",NA,NA
"3954",3605.891798,"3003","EB",NA,NA
"3362",3609.053626,"2374","EB",NA,NA
"4190",3615.114478,"3075","EB",NA,NA
"2715",3616.039387,"362","EB",NA,NA
"2333",3617.641808,"13","EB",NA,NA
"2333",3617.641808,"13","EB",NA,NA
"3307",3625.952855,"2316","EB",NA,NA
