BreedGroupID,BirdID,Status
1067,2092,FL
1067,2737,BrF
1067,1941,BrM
1068,2093,AB
1068,2094,AB
1068,2095,AB
1068,1944,BrF
1068,1943,BrM
1069,2096,BrF
1069,30,BrM
1070,2097,AB
1070,1949,BrF
1070,1948,BrM
1071,2111,BrF
1071,1951,BrM
1072,2098,FL
1072,2034,AB
1072,1954,BrF
1072,1953,BrM
1073,2100,BrF
1073,2099,BrM
1074,2036,BrF
1074,2035,BrM
1075,2037,AB
1075,2752,BrF
1075,2753,BrM
1076,2771,AB
1076,1959,BrF
1076,1958,BrM
1077,1961,BrF
1077,1960,BrM
1078,2039,AB
1078,1963,BrF
1078,1962,BrM
1079,2040,BrF
1079,1965,BrM
1080,2101,BrF
1080,2839,BrM
1080,2042,AB
1081,2102,AB
1081,40,BrF
1081,2043,BrM
1082,34,AB
1082,2103,BrF
1082,2044,BrM
1083,800,AB
1083,2827,BrF
1083,2740,BrM
1084,793,AB
1084,2104,AB
1084,2862,BrF
1084,2045,BrM
1085,2106,BrF
1085,2105,BrM
1086,2840,AB
1086,2047,BrF
1086,2046,BrM
1087,2048,BrF
1087,1968,BrM
1088,1970,BrF
1088,1969,BrM
1089,2107,AB
1089,1972,BrF
1089,1971,BrM
1090,2112,BrF
1090,1973,BrM
1091,1976,BrF
1091,1975,BrM
1092,1978,BrF
1092,1977,BrM
1093,1980,BrF
1093,1979,BrM
1094,1983,BrM
1095,2113,BrF
1095,1985,BrM
1096,2841,BrF
1096,2107,BrM
1097,1993,BrM
1097,31,BrF
1098,2058,BrF
1098,2057,BrM
1099,2108,AB
1099,1995,BrF
1099,1994,BrM
1100,2842,AB
1100,1997,BrF
1100,1996,BrM
1101,2001,AB
1101,2000,BrF
1101,1999,BrM
1102,2063,BrF
1102,2739,BrM
1103,2065,BrF
1103,2064,BrM
1104,2109,AB
1104,2110,AB
1104,33,AB
1104,2108,BrF
1104,2004,BrM
1105,2832,BrF
1105,2066,BrM
1106,429,AB
1106,2114,BrF
1106,2005,BrM
1107,2115,FL
1107,2773,AB
1107,797,BrF
1107,23,BrM
1108,2115,BrF
1108,429,BrM
1109,2117,BrF
1109,2116,BrM
1110,2119,BrF
1110,2118,BrM
1111,2067,AB
1111,789,BrF
1111,2120,BrM
1112,2067,AB
1112,2068,AB
1112,1901,BrF
1112,1900,BrM
1113,2008,BrF
1113,2764,BrM
1114,2833,BrF
1114,1686,BrM
1115,2070,BrF
1115,22,BrM
1116,2859,BrF
1116,2121,BrM
1117,2751,BrF
1117,2122,BrM
1118,2122,FL
1118,2750,BrF
1118,1903,BrM
1119,2123,AB
1119,428,BrF
1119,28,BrM
1120,2124,FL
1120,2760,BrF
1120,2754,BrM
1121,41,FL
1121,788,BrF
1121,2011,BrM
1122,27,BrF
1122,29,BrM
3288,2749,BrF
1123,37,BrF
1123,36,BrM
1124,2834,AB
1124,2076,BrF
1124,2125,BrM
1125,1905,BrF
1125,2755,BrM
1126,2126,BrF
1126,21,BrM
1127,1908,AB
1127,2127,AB
1127,2795,BrF
1127,2733,BrM
1128,2014,BrF
1128,2128,BrM
1129,1687,BrF
1129,2077,BrM
1130,2129,BrF
1130,2015,BrM
1131,2130,AB
1131,2738,BrF
1131,2792,BrM
1132,2815,AB
1132,2132,AB
1132,2133,AB
1132,799,BrF
1132,2131,BrM
1133,2134,AB
1133,2817,BrF
1133,2763,BrM
1134,794,BrF
1134,2756,BrM
1135,2759,BrF
1135,24,BrM
1136,2080,AB
1136,2135,AB
1136,2079,BrF
1136,2078,BrM
1137,2083,AB
1137,2136,AB
1137,2082,BrF
1137,2081,BrM
1138,2139,AB
1138,2138,BrF
1138,2137,BrM
1139,2085,AB
1139,2140,AB
1139,2084,BrF
1139,304,BrM
1140,2757,BrF
1140,2141,BrM
1141,1915,BrF
1141,2781,BrM
1142,2086,AB
1142,1914,BrF
1142,1913,BrM
1143,1917,BrF
1143,1916,BrM
1144,2143,BrF
1144,2142,BrM
1145,1921,BrF
1145,2144,BrM
1146,2145,FL
1146,1923,BrF
1146,1922,BrM
1147,1925,BrF
1147,1924,BrM
1148,2088,BrF
1148,2087,BrM
1149,1928,AB
1149,2146,AB
1149,1927,BrF
1149,1926,BrM
1150,430,BrF
1150,1929,BrM
1151,2147,BrF
1151,1932,BrM
1152,2148,FL
1152,2149,FL
1152,2821,AB
1152,2822,AB
1152,790,BrF
1152,426,BrM
1153,792,BrF
1153,2150,BrM
1154,2153,AB
1154,2154,AB
1154,2155,AB
1154,2156,AB
1154,2157,AB
1154,2152,BrF
1154,2151,BrM
1155,2159,BrF
1155,2158,BrM
1156,1938,BrF
1156,1937,BrM
1157,2161,BrF
1157,2160,BrM
1158,2163,BrF
1158,2162,BrM
1159,2766,BrM
1159,2164,BrF
1160,2165,BrF
1160,2793,BrM
1161,2091,AB
1161,2166,AB
1161,1940,BrF
1161,1939,BrM
1162,2737,BrF
1162,1941,BrM
1163,2030,BrM
1164,2095,AB
1164,1944,BrF
1164,1943,BrM
1165,2167,AB
1165,2096,BrF
1165,30,BrM
1166,2097,AB
1166,1949,BrF
1166,1948,BrM
1167,2111,BrF
1167,1951,BrM
1168,2169,BrF
1168,2168,BrM
1169,2034,AB
1169,2098,AB
1169,1954,BrF
1169,1953,BrM
1170,2100,BrF
1170,2099,BrM
1171,2036,BrF
1171,2035,BrM
1172,2037,AB
1172,2170,AB
1172,2752,BrF
1172,2753,BrM
1173,2171,AB
1173,1959,BrF
1173,1958,BrM
1174,2171,AB
1174,2172,AB
1174,1961,BrF
1174,1960,BrM
1175,2039,AB
1175,1963,BrF
1175,1962,BrM
1176,2041,AB
1176,2173,AB
1176,2040,BrF
1176,1965,BrM
1177,2042,AB
1177,2174,AB
1177,2101,BrF
1177,2839,BrM
1178,2175,FL
1178,40,BrF
1178,39,BrM
1179,34,BrF
1179,2044,BrM
1180,42,FL
1180,800,BrF
1180,38,BrM
1181,2862,BrF
1181,2045,BrM
1182,2176,AB
1182,2047,BrF
1182,2046,BrM
1183,2178,BrF
1183,2177,BrM
1184,2180,BrF
1184,2179,BrM
1185,2048,BrF
1185,1968,BrM
1186,2182,BrF
1186,2181,BrM
1187,2183,AB
1187,1970,BrF
1187,1969,BrM
1188,1972,BrF
1188,1971,BrM
1189,2112,BrF
1189,1973,BrM
1190,1976,BrF
1190,1975,BrM
1191,2184,AB
1191,1978,BrF
1191,1977,BrM
1192,2187,AB
1192,2186,BrF
1192,2185,BrM
1193,2188,AB
1193,2189,AB
1193,1980,BrF
1193,1979,BrM
1194,2204,BrF
1194,2205,BrM
1195,2190,AB
1195,2206,BrF
1195,1983,BrM
1196,2113,BrF
1196,1985,BrM
1197,2207,BrF
1197,2208,BrM
1198,2190,AB
1198,2209,BrF
1198,2210,BrM
1199,2192,BrF
1199,2191,BrM
