offspring,mother,father,prob
1363,1049,776,1
1364,1173,1159,0.997
1365,869,453,0.997
1366,1158,1041,0.895
1367,912,922,0.999
1368,932,216,1
1369,459,947,1
1370,308,216,0.993
1371,454,216,0.989
1380,561,467,1
1381,NA,847,0.975
1382,679,477,0.914
1383,604,1178,0.614
1384,1246,609,1
1385,604,216,0.998
1386,455,176,0.946
1387,308,1274,1
1388,1386,1274,1
1389,457,507,0.822
1390,NA,1274,0.874
1391,596,200,1
1392,172,1020,0.771
1393,1345,215,1
1394,832,1041,1
1395,1177,824,0.718
1396,469,467,0.597
1397,1347,494,1
1398,845,674,1
1399,845,674,1
1400,1401,605,1
1401,601,1018,0.997
1402,1186,890,1
1403,531,776,1
1404,454,221,1
1405,859,929,0.998
1406,1403,849,1
1407,1026,1032,1
1408,1017,1018,1
1409,840,597,1
1410,502,215,1
1411,169,890,0.904
1412,457,868,1
1413,927,501,1
1414,447,1203,0.556
1415,441,1165,0.926
1416,1271,605,1
1417,825,672,0.997
1418,912,922,1
1419,912,922,1
1420,1347,494,0.984
1421,1345,215,0.999
1422,1049,632,1
1423,447,1203,1
1424,774,1198,1
1425,1403,849,1
1426,522,1360,1
1427,862,917,1
1428,524,865,1
1429,915,847,1
1430,1172,1171,1
1431,561,467,1
1432,504,44,1
1433,1222,501,0.756
1434,880,1047,0.997
1435,853,865,1
1436,524,865,1
1437,1017,1018,0.999
1438,1155,1154,1
1439,932,1274,1
1440,1177,1243,1
1441,915,1412,1
1485,823,562,1
1486,601,506,1
1487,914,1040,0.998
1488,628,NA,0.614
1489,1042,453,1
1490,NA,1041,0.883
1491,308,609,0.599
1492,542,544,0.812
1493,835,1031,1
1494,845,1276,1
1495,1200,1156,1
1496,1160,1047,1
1497,1304,668,1
1498,666,1028,0.999
1499,670,1381,1
1500,442,609,1
1501,826,216,0.98
1502,1517,1062,1
1503,1186,1184,1
1504,1404,507,1
1505,NA,911,0.555
1506,1200,1156,0.988
1507,1271,506,0.989
1508,168,1045,1
1509,925,1287,1
1510,1247,1020,0.998
1511,840,597,1
1512,951,1196,1
1513,1244,467,0.996
1514,1059,494,1
1515,444,1166,1
1516,1437,1279,0.946
1517,639,208,0.999
1518,1401,1185,1
1519,912,922,0.826
1520,502,1164,0.999
1521,826,1213,0.998
1522,1409,1209,1
1523,949,557,1
1524,938,1028,1
1525,1432,922,1
1526,504,497,1
1527,1403,849,0.998
1528,1304,668,1
1529,1403,849,1
1530,1410,436,1
1531,949,557,1
1532,596,911,1
1533,677,1028,1
1534,853,865,1
