BloodID,TL,BirdID,Ageclass,RightTarsus,LeftTarsus,OccasionDate,OccasionID,LayYear,BodyMass,TerritoryID,FieldPeriodID,Status,BreedGroupID,MaxOfMaxOfSeenDate,SexEstimate
239,2879.494438,1773,A,25.9,,15/12/2003,1228,2002,16.5,27,31,BrM,2610,02/09/2005,1
239,2690.355637,1773,A,25.9,,15/12/2003,1228,2002,16.5,27,31,BrM,2610,02/09/2005,1
414,3424.379067,1773,A,25.6,,11/08/2004,1453,2002,17.2,27,34,BrM,582,02/09/2005,1
234,2865.488636,1774,SA,24.6,,14/12/2003,1226,2002,16.5,28,31,ABX,2611,28/08/2008,1
409,6246.38703,1774,A,24.5,,05/08/2004,1438,2002,15.9,28,34,ABX,583,28/08/2008,1
3203,7533.914419,1774,A,24.8,,22/08/2006,1930,2002,16.2,72,75,BrM,3814,28/08/2008,1
4190,3615.114478,1774,A,24.4,,29/07/2008,2372,2002,16.3,71,87,BrM,4547,28/08/2008,1
95,4461.816601,1775,A,25.3,,28/06/2003,1149,2002,15.2,14,30,B,455,07/01/2007,1
93,7587.236874,1776,SA,24.3,,28/06/2003,1149,2002,13.9,112,30,ABX,525,17/01/2008,0
2895,4625.097521,1777,A,25.3,,27/11/2005,1763,2003,17.0,113,54,BrM,6290,14/01/2009,1
533,3851.721396,1778,A,23.5,,17/07/2005,1605,2002,14.7,13,37,BrF,656,29/08/2007,0
3835,3567.929266,1778,A,24.0,,29/08/2007,2235,2002,17.9,13,82,BrF,4198,29/08/2007,0
3184,3958.128997,1779,A,24.9,,16/08/2006,1922,2002,15.5,88,75,BrF,3827,14/01/2008,0
104,20051.84855,1780,SA,26.0,,01/07/2003,1154,2002,16.9,86,30,BrM,2583,10/12/2005,1
623,3780.189122,1781,A,24.1,,18/08/2005,1694,2002,16.5,174,37,BrF,752,18/08/2005,0
108,3336.425787,1782,A,23.7,,07/07/2003,1157,2002,19.3,70,30,BrF,497,25/08/2010,0
109,5315.767929,1782,A,23.7,,07/07/2003,1157,2002,19.3,70,30,BrF,497,25/08/2010,0
351,5783.079889,1782,A,23.6,,01/07/2004,1356,2002,15.5,70,34,BrF,606,25/08/2010,0
3697,2875.053466,1782,A,24.1,,21/06/2007,2052,2002,15.0,70,82,BrF,4240,25/08/2010,0
4073,2760.788227,1782,A,24.1,,27/01/2009,2291,2002,15.7,70,90,BrF,4113,25/08/2010,0
4073,4778.893032,1782,A,24.1,,27/01/2009,2291,2002,15.7,70,90,BrF,4113,25/08/2010,0
113,2672.613152,1783,J,25.3,,07/07/2003,1156,2003,16.5,67,30,ABX,494,15/03/2010,1
3767,3142.683768,1783,A,24.8,,22/07/2007,2224,2003,15.9,61,82,BrM,4233,15/03/2010,1
4058,1702.308525,1783,A,,,21/01/2009,2284,2003,,472,90,BrM,4182,15/03/2010,1
116,3911.511422,1785,SA,26.3,,09/07/2003,1159,2002,16.3,169,30,ABX,548,19/06/2005,1
124,4993.43478,1786,A,25.6,,10/07/2003,1160,2002,15.6,59,30,BrM,2582,15/08/2003,1
126,1550.08988,1787,SA,25.7,,11/07/2003,1163,2002,16.4,36,30,BrM,2580,02/02/2008,1
412,7286.235862,1787,SA,25.4,,26/08/2004,1476,2002,17.0,36,34,BrM,587,02/02/2008,1
