BloodID,TL,BirdID,BTN,Whodunnit,Objective,Plate
3955,2929.474511,1187,3005,EB,,
3680,2938.182144,1831,2387,EB,,
3866,2941.817093,5139,2728,EB,,
3961,2941.957988,4829,3018,EB,,
4155,2943.864497,5164,3050,EB,,
4155,2943.864497,5164,3050,EB,,
2935,2945.860648,1589,1895,EB,,
3953,2947.193619,4939,3007,EB,,
4165,2949.140572,5077,3066,EB,,
3857,2954.10381,1757,2710,EB,,
683,2958.890919,1200,1703,EB,,
900,2959.955755,1586,691,EB,,
4177,2961.377565,1742,3067,EB,,
3665,2963.034049,5268,3121,EB,,
279,2982.20395,1597,1283,EB,,
448,2984.088163,1494,1459,EB,,
448,2984.088163,1494,1459,EB,,
3856,2984.943881,3608,2709,EB,,
3096,3006.308551,1589,2105,EB,,
4281,3011.705228,1854,3260,EB,,
313,3015.475342,1532,1317,EB,,
4167,3027.940607,3457,3062,EB,,
2383,3029.870925,522,6,EB,,
2383,3029.870925,522,6,EB,,
4184,3037.251783,5137,3080,EB,,
4122,3046.503081,5220,3227,EB,,
3922,3046.78418,4866,2799,EB,,
3922,3046.78418,4866,2799,EB,,
3106,3052.459634,911,2115,EB,,
3867,3053.644452,1415,2735,EB,,
4052,3057.576646,4805,3147,EB,,
4060,3058.753876,1577,3149,EB,,
4110,3060.62223,3574,3217,EB,,
4110,3060.62223,3574,3217,EB,,
4250,3066.80332,1708,3122,EB,,
4135,3078.024648,1542,3240,EB,,
127,3078.657386,1214,1126,EB,,
149,3082.108236,1697,1148,EB,,
149,3082.108236,1697,1148,EB,,
3807,3088.052799,930,2486,EB,,
3168,3088.145989,2991,2177,EB,,
3168,3088.145989,2991,2177,EB,,
3818,3101.514333,1848,2499,EB,,
3772,3104.515056,4910,2460,EB,,
3772,3104.515056,4910,2460,EB,,
1124,3108.581828,454,974,EB,,
703,3111.878081,849,455,EB,,
703,3111.878081,849,455,EB,,
3767,3142.683768,1783,2449,EB,,
3195,3143.004753,2963,2204,EB,,
3195,3143.004753,2963,2204,EB,,
2345,3144.465246,510,24,EB,,
2345,3144.465246,510,24,EB,,
2361,3151.420319,628,39,EB,,
2361,3151.420319,628,39,EB,,
3566,3163.912635,5167,2774,EB,,
3912,3164.937242,4939,2789,EB,,
3912,3164.937242,4939,2789,EB,,
3977,3175.959297,1763,3028,EB,,
86,3187.393962,1419,1085,EB,,
4249,3187.773511,1394,3123,EB,,
4049,3194.709681,4854,2960,EB,,
3916,3195.651869,1384,2785,EB,,
288,3199.045204,1702,1292,EB,,
397,3203.914084,1501,1408,EB,,
864,3206.843763,1568,647,EB,,
1023,3211.698312,1603,874,EB,,
2523,3215.950552,1160,40,EB,,
894,3216.369853,1583,685,EB,,
3859,3224.749927,4902,2727,EB,,
3178,3234.741788,1802,2187,EB,,
1814,3236.106998,1065,2,EB,,
4099,3238.46235,1617,3206,EB,,
3846,3243.580094,3463,2683,EB,,
3371,3250.692846,1187,2376,EB,,
3371,3250.692846,1187,2376,EB,,
3371,3250.692846,1187,2376,EB,,
3893,3253.207322,2990,2768,EB,,
3893,3253.207322,2990,2768,EB,,
556,3262.331977,1504,1576,EB,,
484,3267.08762,1731,1498,EB,,
4080,3272.747472,1501,3173,EB,,
3927,3273.647747,1766,2805,EB,,
3927,3273.647747,1766,2805,EB,,
4239,3282.415928,4904,3110,EB,,
4267,3288.48296,5314,3247,EB,,
1012,3288.658861,1532,863,EB,,
1012,3288.658861,1532,863,EB,,
2366,3290.81525,1037,43,EB,,
2366,3290.81525,1037,43,EB,,
3781,3293.733145,4876,2461,EB,,
1005,3301.224112,1396,856,EB,,
4287,3307.051705,4897,3257,EB,,
4070,3312.703126,5224,3163,EB,,
1049,3313.925339,1701,900,EB,,
3689,3317.778467,3486,2388,EB,,
3689,3317.778467,3486,2388,EB,,
3909,3317.890214,1804,2769,EB,,
399,3319.202718,1155,1410,EB,,
399,3319.202718,1155,1410,EB,,
3124,3321.394553,1787,2133,EB,,
3845,3323.8355,4969,2680,EB,,
3845,3323.8355,4969,2680,EB,,
3842,3330.220528,1854,2678,EB,,
4092,3331.078734,4863,3181,EB,,
108,3336.425787,1782,1107,EB,,
