BloodID,TL,Whodunnit,PlateID,BirdID,Objective,Ageclass,RightTarsus,LeftTarsus,BodyMass,EyeColour,LayYear,FieldPeriodID,OccasionID,OccasionDate,TerritoryID,Status,BreedGroupID,SexEstimate,MaxOfMaxOfSeenDate
2577,4972.124227,EB,1,911,1,A,27.1,26.8,16.2,,1994,22,670,05/07/1997,24,SEEN2,2302,1,08/09/2010
2533,2506.99868,EB,30,172,1,A,25.0,25.1,15.4,,1989,22,670,05/07/1997,24,SEEN2,2302,0,14/08/1997
2450,4075.251157,EB,34,1235,1,A,25.2,25,16.0,,1996,22,734,08/08/1997,27,BrF,30,0,16/09/1998
2450,10485.49986,EB,33,1235,1,A,25.2,25,16.0,,1996,22,734,08/08/1997,27,BrF,30,0,16/09/1998
2450,7163.45774,EB,37,1235,1,A,25.2,25,16.0,,1996,22,734,08/08/1997,27,BrF,30,0,16/09/1998
2528,6851.90143,EB,35,1045,1,A,25.1,24.8,12.5,,1996,22,685,11/07/1997,33,SEEN1,34,1,08/07/2001
2492,2923.658863,EB,32,1151,1,A,26.2,26.1,15.9,,1996,22,668,04/07/1997,35,BrM,2303,1,16/08/1999
2492,12525.02865,EB,37,1151,1,A,26.2,26.1,15.9,,1996,22,668,04/07/1997,35,BrM,2303,1,16/08/1999
2565,7212.186725,EB,9,441,1,A,25.4,25.1,15.6,,1992,22,701,20/07/1997,38,BrF,35,0,08/01/2007
2459,7715.17686,EAF,10,1042,8,A,25.3,25.2,14.6,,1996,22,674,06/07/1997,38,SEEN1,35,0,30/06/2015
2459,1321.155044,EB,34,1042,1,A,25.3,25.2,14.6,,1996,22,674,06/07/1997,38,SEEN1,35,0,30/06/2015
2408,18913.44574,EAF,42,1042,7,A,25.3,25.4,,,1996,22,715,26/07/1997,38,SEEN1,35,0,30/06/2015
2522,9624.101415,EB,1,500,1,A,24.5,24.7,16.1,,1991,22,672,05/07/1997,40,BrF,36,0,23/06/1998
2404,4351.190456,EB,1,1162,1,SA,26.3,26.4,15.5,,1996,22,672,05/07/1997,40,ABX,36,1,07/02/1998
2448,4378.784069,EB,37,1164,1,A,26.0,26,16.0,,1996,22,671,05/07/1997,40,SEEN1,36,1,20/08/1999
2448,6803.386226,EB,32,1164,1,A,26.0,26,16.0,,1996,22,671,05/07/1997,40,SEEN1,36,1,20/08/1999
2492,2923.658863,EB,32,1151,1,A,26.2,26.1,15.9,,1996,22,668,04/07/1997,40,SEEN2,36,1,16/08/1999
2492,12525.02865,EB,37,1151,1,A,26.2,26.1,15.9,,1996,22,668,04/07/1997,40,SEEN2,36,1,16/08/1999
2426,6422.186459,EB,2,609,1,A,26.4,26.4,14.3,,1993,22,673,05/07/1997,42,BrM,37,1,20/11/2005
2481,8088.013582,EB,2,1156,1,A,26.1,25.7,15.5,,1996,22,675,06/07/1997,45,ABX,39,1,09/07/2001
2412,5122.612161,EB,12,221,1,A,28.1,27.8,16.9,,1988,22,716,26/07/1997,45,BrM,39,1,20/11/2005
2559,5502.137178,EB,8,921,1,A,24.6,24.9,16.8,,1994,22,698,16/07/1997,47,BrM,40,1,15/12/2003
2558,6864.028605,EB,8,1186,1,A,24.9,24.8,15.2,,1996,22,698,16/07/1997,47,SEEN1,40,0,20/07/2002
2423,8274.754774,EB,13,455,1,A,23.9,23.9,15.2,,1992,22,723,29/07/1997,48,BrF,41,0,14/08/1997
2424,4347.274934,EB,34,1212,1,A,25.7,25.6,15.4,,1996,22,723,29/07/1997,48,BrM,41,1,30/08/1999
2463,1794.928617,EB,18,1213,5,CH,25.6,25.2,15.8,,1997,22,741,12/08/1997,48,FL,41,1,22/12/2004
2582,9302.932701,EB,10,828,1,A,27.2,26.9,16.8,,1994,22,709,23/07/1997,51,ABX,43,1,16/09/1998
2583,10883.56056,EAF,20,51,8,A,25.9,25.6,15.6,,1986,22,712,24/07/1997,51,BrM,43,1,01/08/2003
2491,5673.98091,EB,2,449,1,A,25.6,25.5,15.4,,,22,677,06/07/1997,52,BrF,44,0,06/12/1999
2490,5833.358099,EB,2,1157,1,A,26.8,27.1,17.0,,1996,22,675,06/07/1997,52,BrM,44,1,19/02/1998
2493,9814.638819,EAF,30,932,7,A,24.0,24.2,14.4,,1994,22,677,06/07/1997,53,H,45,0,04/07/2003
2466,4669.157176,EB,1,1216,5,OFL,24.9,24.3,14.3,,1997,22,743,13/08/1997,53,OFL,45,0,13/09/1998
2501,8769.74711,EAF,8,216,8,A,27.0,26.7,17.5,,1988,22,677,06/07/1997,53,BrM,45,1,02/12/1999
2413,8263.587322,EB,12,1203,1,A,27.2,27.2,16.9,,1996,22,717,26/07/1997,54,BrM,46,1,07/09/1999
2484,7127.486936,EB,33,1030,1,SA,25.2,25.4,16.6,,1996,22,751,21/08/1997,55,ABX,47,1,21/08/1997
2484,6198.435082,EB,37,1030,1,SA,25.2,25.4,16.6,,1996,22,751,21/08/1997,55,ABX,47,1,21/08/1997
2414,7715.181806,EB,12,65,1,A,25.9,25.9,18.6,,1987,22,717,26/07/1997,56,BrM,48,1,12/03/1998
2417,11187.27619,EB,12,608,1,A,24.6,,15.5,,1993,22,719,27/07/1997,59,ABX,50,0,14/02/1998
2422,3399.699352,EB,34,163,1,A,24.2,24.2,14.8,,1987,22,722,28/07/1997,59,ABX,50,0,12/09/1998
2422,6960.138241,EB,33,163,1,A,24.2,24.2,14.8,,1987,22,722,28/07/1997,59,ABX,50,0,12/09/1998
2418,7110.799418,EB,12,850,1,A,23.9,23.5,13.4,,1994,22,719,27/07/1997,59,BrF,50,0,03/08/1997
2421,4655.230841,EB,13,510,1,A,25.8,25.7,15.5,,1993,22,720,27/07/1997,59,BrM,50,1,16/01/2007
2419,5089.926616,EB,38,1130,1,A,23.7,23.6,13.7,,,22,720,27/07/1997,59,SEEN2,50,0,02/12/1999
2410,200.245399,EB,12,1202,1,SA,26.1,25.8,17.8,,1997,22,717,26/07/1997,62,ABX,52,1,21/02/1998
2410,13868.21808,EB,35,1202,1,SA,26.1,25.8,17.8,,1997,22,717,26/07/1997,62,ABX,52,1,21/02/1998
2411,5304.83781,EB,32,606,1,A,25.5,25.2,16.5,,1993,22,717,26/07/1997,62,BrM,52,1,05/03/1998
2411,4801.276363,EB,37,606,1,A,25.5,25.2,16.5,,1993,22,717,26/07/1997,62,BrM,52,1,05/03/1998
2483,10923.51107,EB,33,1032,1,SA,25.8,26,16.4,,1996,22,751,21/08/1997,63,H,53,1,10/07/2001
2507,2440.481449,EB,29,467,1,A,26.8,26.1,,,1992,22,681,08/07/1997,67,BrM,55,1,07/12/1999
2564,5851.456421,EB,9,1200,1,A,24.7,24.3,15.7,,1996,22,700,17/07/1997,68,ABX,56,0,19/07/2006
2560,6725.578619,EB,8,1188,1,SA,25.4,25.4,15.4,,1996,22,698,16/07/1997,68,ABX,56,1,12/08/2010
2549,5083.799358,EB,40,1193,1,A,25.4,25.3,15.8,,1996,22,691,14/07/1997,69,BrF,57,0,23/08/2007
2549,3706.718632,EB,34,1193,1,A,25.4,25.3,15.8,,1996,22,691,14/07/1997,69,BrF,57,0,23/08/2007
2561,5863.509833,EB,9,1178,1,A,26.3,25,15.7,,1996,22,697,16/07/1997,69,BrM,57,1,05/08/1999
2567,5908.504682,EB,9,1036,1,A,23.7,23.5,15.7,,1995,22,702,21/07/1997,72,TBRF,59,0,09/01/1998
2558,6864.028605,EB,8,1186,1,A,24.9,24.8,15.2,,1996,22,698,16/07/1997,72,BrF,59,0,20/07/2002
2568,5932.795916,EB,9,1184,1,A,25.9,26,15.5,,1996,22,702,21/07/1997,72,BrM,59,1,05/07/2001
2443,5261.49184,EB,33,1061,1,A,26.3,26.1,15.3,,1996,22,732,07/08/1997,76,H,62,1,16/03/1998
2442,4305.555252,EB,13,628,1,A,23.9,24.4,14.4,,1993,22,732,07/08/1997,76,BrF,62,0,04/06/2004
2441,6478.008469,EB,1,1215,5,CH,26.0,26,17.0,,1997,22,731,07/08/1997,76,XF,62,1,06/12/1999
2441,10972.91827,EAF,30,1215,6,CH,26.0,26,17.0,,1997,22,731,07/08/1997,76,XF,62,1,06/12/1999
2544,9208.673196,EB,1,1161,1,SA,25.5,25.3,15.0,,1996,22,672,05/07/1997,76,SEEN1,62,0,05/07/2001
2517,3958.957255,EB,29,1019,1,A,25.2,25.1,15.0,,1995,22,684,10/07/1997,77,H,63,0,19/01/1999
2515,4439.633179,EB,4,1158,1,A,24.6,24.5,15.3,,1996,22,684,10/07/1997,77,BrF,63,0,20/08/2002
2516,6001.71401,EB,4,1159,1,A,25.7,25.9,16.0,,1996,22,684,10/07/1997,77,BrM,63,1,23/08/1999
2580,9067.257598,EB,10,1197,1,A,24.9,25,13.7,,1996,22,711,24/07/1997,80,ABX,64,0,18/02/1998
2534,7262.554689,EB,35,1173,1,A,25.0,24.7,14.8,,1996,22,687,12/07/1997,80,BrF,64,0,08/07/2001
2579,7453.882136,EB,10,1041,1,A,27.4,27,18.0,,1995,22,707,23/07/1997,80,BrM,64,1,18/01/1999
2524,7122.992936,EB,36,1047,1,SA,24.3,24.2,15.5,,1996,22,685,11/07/1997,81,ABX,65,1,20/11/1999
2535,8210.218408,EB,35,1174,1,A,26.2,26.1,16.1,,1996,22,687,12/07/1997,86,BrM,2305,1,14/08/1997
2576,6498.255949,EB,10,951,1,A,,,,,1995,22,708,23/07/1997,88,BrF,69,0,21/07/2002
2578,9277.966273,EB,10,1196,1,A,26.6,26.6,17.3,,1996,22,708,23/07/1997,88,BrM,69,1,04/09/2009
2444,6498.736011,EAF,37,1234,7,FL,27.1,26.7,16.8,,1997,22,733,07/08/1997,89,FL,70,1,02/12/1999
2444,4351.729119,EB,1,1234,5,FL,27.1,26.7,16.8,,1997,22,733,07/08/1997,89,FL,70,1,02/12/1999
2486,14004.97576,EB,33,1243,1,SA,26.1,25.9,15.9,,1996,22,750,21/08/1997,90,SEEN1,71,1,24/08/1999
2575,7191.97329,EB,10,1195,1,SA,24.1,24.2,14.5,,1996,22,707,23/07/1997,94,H,72,0,07/09/2010
2584,2913.253064,EAF,5,525,8,A,26.4,26.4,17.6,,1993,22,710,24/07/1997,99,BrM,74,1,13/09/1999
2434,8517.760616,EAF,8,1225,8,SA,23.6,23.6,13.7,,1997,22,728,03/08/1997,102,SEEN1,76,0,06/01/1998
2434,4089.205249,EB,18,1225,5,SA,23.6,23.6,13.7,,1997,22,728,03/08/1997,102,SEEN1,76,0,06/01/1998
2434,2902.262659,EB,1,1225,5,SA,23.6,23.6,13.7,,1997,22,728,03/08/1997,102,SEEN1,76,0,06/01/1998
2513,1413.318636,EB,29,530,1,A,24.5,24.6,14.1,,1993,22,682,09/07/1997,104,BrF,78,0,12/02/1998
2514,4820.042102,EB,4,637,1,A,27.0,26.5,16.7,,1993,22,683,09/07/1997,104,BrM,78,1,24/12/1997
2581,5566.825008,EB,29,1211,1,A,26.2,25.9,15.8,,1996,22,710,24/07/1997,105,BrM,79,1,06/08/1998
2504,3871.342258,EAF,25,1166,7,SA,25.7,25.4,16.0,,1996,22,674,06/07/1997,108,BrM,81,1,30/08/2004
2504,1830.632238,EAF,26,1166,7,SA,25.7,25.4,16.0,,1996,22,674,06/07/1997,108,BrM,81,1,30/08/2004
2436,6056.211031,EB,13,1040,1,A,26.7,26.4,17.2,,1995,22,729,03/08/1997,109,BrM,82,1,23/06/2006
2443,5261.49184,EB,33,1061,1,A,26.3,26.1,15.3,,1996,22,732,07/08/1997,109,SEEN1,82,1,16/03/1998
2547,4497.025717,EB,29,1017,1,A,24.2,23.8,14.5,,1992,22,692,14/07/1997,110,BrF,83,0,23/05/2004
2547,10923.51107,EB,36,1017,1,A,24.2,23.8,14.5,,1992,22,692,14/07/1997,110,BrF,83,0,23/05/2004
2523,3215.950552,EB,15,1160,1,A,24.5,24.7,15.0,,1996,22,685,11/07/1997,112,BrF,84,0,04/12/1999
2524,7122.992936,EB,36,1047,1,SA,24.3,24.2,15.5,,1996,22,685,11/07/1997,112,SEEN1,84,1,20/11/1999
2526,8879.895189,EB,29,329,1,A,24.6,24.1,14.1,,1988,22,685,11/07/1997,115,BrF,85,0,02/12/1999
2492,2923.658863,EB,32,1151,1,A,26.2,26.1,15.9,,1996,22,668,04/07/1997,115,SEEN1,85,1,16/08/1999
2492,12525.02865,EB,37,1151,1,A,26.2,26.1,15.9,,1996,22,668,04/07/1997,115,SEEN1,85,1,16/08/1999
2527,9913.747492,EB,1,1179,2,FL,26.1,26,16.3,,1997,22,685,11/07/1997,115,FL,85,1,21/09/1999
2527,5324.304591,EB,1,1179,5,FL,26.1,26,16.3,,1997,22,685,11/07/1997,115,FL,85,1,21/09/1999
2528,6851.90143,EB,35,1045,1,A,25.1,24.8,12.5,,1996,22,685,11/07/1997,115,SEEN1,85,1,08/07/2001
2586,6019.927419,EB,37,1217,1,SA,26.4,25.6,15.4,,1996,22,713,25/07/1997,116,ABX,3317,1,16/07/1998
2586,11454.58876,EB,32,1217,1,SA,26.4,25.6,15.4,,1996,22,713,25/07/1997,116,ABX,3317,1,16/07/1998
2585,3339.014644,EAF,39,776,7,A,26.7,26.5,17.5,,1994,22,710,24/07/1997,116,BrM,3317,1,21/08/1999
2584,2913.253064,EAF,5,525,8,A,26.4,26.4,17.6,,1993,22,710,24/07/1997,116,SEEN1,3317,1,13/09/1999
2556,7220.546928,EB,8,1198,1,A,26.3,25.9,16.2,,1996,22,694,15/07/1997,117,BrM,86,1,12/08/2000
2551,8518.369514,EB,39,1191,1,A,25.4,25.1,15.9,,1996,22,691,14/07/1997,118,BrM,87,1,07/07/2001
2551,14004.97576,EB,36,1191,1,A,25.4,25.1,15.9,,1996,22,691,14/07/1997,118,BrM,87,1,07/07/2001
2549,5083.799358,EB,40,1193,1,A,25.4,25.3,15.8,,1996,22,691,14/07/1997,118,SEEN1,87,0,23/08/2007
2549,3706.718632,EB,34,1193,1,A,25.4,25.3,15.8,,1996,22,691,14/07/1997,118,SEEN1,87,0,23/08/2007
2552,11012.56594,EB,32,1192,1,A,24.5,24.1,15.5,,1996,22,691,14/07/1997,119,BrF,88,0,21/08/1997
2476,2197.143084,EAF,22,1240,8,SA,24.6,24.4,13.7,,1996,22,749,18/08/1997,120,BrF,2307,0,18/08/1997
2476,2488.508587,EAF,21,1240,8,SA,24.6,24.4,13.7,,1996,22,749,18/08/1997,120,BrF,2307,0,18/08/1997
2475,6802.826353,EB,30,1242,1,SA,25.5,25.6,16.8,,1996,22,749,18/08/1997,120,BrM,2307,1,27/03/1998
2554,6380.447145,EB,8,1189,1,A,25.1,25.3,15.8,,1996,22,695,15/07/1997,121,BrM,89,1,26/12/1997
2557,7991.919803,EB,8,1199,1,A,26.1,25.6,16.5,,1996,22,694,15/07/1997,125,SEEN1,91,1,26/01/2008
2420,6092.823134,EB,12,477,1,A,25.0,25.1,15.3,,,22,720,27/07/1997,126,BrM,92,1,21/02/1998
2546,8292.461531,EB,36,1182,1,A,24.4,24.6,14.7,,1996,22,693,14/07/1997,132,BrF,96,0,22/03/1998
2545,7677.058122,EB,1,1181,5,FL,26.7,26.6,14.9,,1997,22,693,14/07/1997,132,FL,96,1,15/03/1998
2545,25355.47576,EAF,9,1181,8,FL,26.7,26.6,14.9,,1997,22,693,14/07/1997,132,FL,96,1,15/03/1998
2540,10485.49986,EB,36,941,1,A,26.5,26,17.3,,1994,22,690,13/07/1997,135,BrM,98,1,23/03/1998
2430,5369.295333,EAF,14,1208,8,CH,23.6,23.5,14.6,,1997,22,726,01/08/1997,137,FL,99,0,01/08/1997
