BirdID,BloodID,Status,TerritoryID,PeriodEnd
1355,2685,BrF,79,13/08/2000
1357,2689,BrM,79,13/08/2000
1173,2534,BrF,80,13/08/2000
1435,1069,ABX,80,13/08/2000
1435,734,ABX,80,13/08/2000
865,2686,BrM,81,13/08/2000
1508,1146,BrF,81,13/08/2000
1508,769,BrF,81,13/08/2000
1130,2419,BrF,82,13/08/2000
1130,2688,BrF,82,13/08/2000
1356,2687,BrM,82,13/08/2000
1356,3191,BrM,82,13/08/2000
1356,4008,BrM,82,13/08/2000
1356,446,BrM,82,13/08/2000
832,730,BrF,83,13/08/2000
832,244,BrF,83,13/08/2000
450,728,BrF,84,13/08/2000
450,699,BrF,84,13/08/2000
629,2367,BrM,84,13/08/2000
629,804,BrM,84,13/08/2000
522,2383,BrF,86,13/08/2000
522,2383,BrF,86,13/08/2000
522,2383,BrF,86,13/08/2000
522,2383,BrF,86,13/08/2000
522,2637,BrF,86,13/08/2000
1360,2724,BrM,86,13/08/2000
1437,481,BrF,87,13/08/2000
1437,735,BrF,87,13/08/2000
951,2576,BrF,88,13/08/2000
951,2373,BrF,88,13/08/2000
1196,896,BrM,88,13/08/2000
1196,2578,BrM,88,13/08/2000
1196,896,BrM,88,13/08/2000
1196,4000,BrM,88,13/08/2000
1196,896,BrM,88,13/08/2000
1196,3187,BrM,88,13/08/2000
1512,2901,ABX,88,13/08/2000
1512,897,ABX,88,13/08/2000
1512,774,ABX,88,13/08/2000
1583,894,OFL,88,13/08/2000
1045,726,BrM,89,13/08/2000
1045,2626,BrM,89,13/08/2000
1045,2388,BrM,89,13/08/2000
1596,920,FL,89,13/08/2000
632,888,BrM,90,13/08/2000
632,729,BrM,90,13/08/2000
862,260,BrF,90,13/08/2000
858,889,BrF,92,13/08/2000
1063,890,BrM,92,13/08/2000
1195,2575,BrF,94,13/08/2000
1195,152,BrF,94,13/08/2000
1195,4162,BrF,94,13/08/2000
917,2622,BrM,95,13/08/2000
1170,3851,BrF,95,13/08/2000
1170,2621,BrF,95,13/08/2000
1579,887,OFL,95,13/08/2000
1579,153,OFL,95,13/08/2000
1438,737,U,98,13/08/2000
1438,4692,U,98,13/08/2000
1438,1062,U,98,13/08/2000
525,2239,BrM,99,13/08/2000
525,766,BrM,99,13/08/2000
1582,893,OFL,99,13/08/2000
1581,3687,OFL,99,13/08/2000
1581,892,OFL,99,13/08/2000
1581,158,OFL,99,13/08/2000
1581,4258,OFL,99,13/08/2000
1581,3115,OFL,99,13/08/2000
1581,1039,OFL,99,13/08/2000
1394,132,BrM,100,13/08/2000
1394,2720,BrM,100,13/08/2000
1394,698,BrM,100,13/08/2000
1394,4098,BrM,100,13/08/2000
1394,4249,BrM,100,13/08/2000
849,1061,BrM,101,13/08/2000
849,2676,BrM,101,13/08/2000
849,703,BrM,101,13/08/2000
1527,895,ABX,101,13/08/2000
1580,4333,FL,101,13/08/2000
1580,3179,FL,101,13/08/2000
1580,1003,FL,101,13/08/2000
1580,891,FL,101,13/08/2000
1580,2904,FL,101,13/08/2000
1381,271,BrM,105,13/08/2000
1542,1103,ABX,108,13/08/2000
1542,4135,ABX,108,13/08/2000
1542,841,ABX,108,13/08/2000
1542,2811,ABX,108,13/08/2000
1022,840,BrF,108,13/08/2000
1022,840,BrF,108,13/08/2000
1022,2336,BrF,108,13/08/2000
1022,840,BrF,108,13/08/2000
1199,173,BrM,108,13/08/2000
1199,2911,BrM,108,13/08/2000
1199,3204,BrM,108,13/08/2000
1040,475,BrM,109,13/08/2000
1040,1001,BrM,109,13/08/2000
1040,59,BrM,109,13/08/2000
1040,2436,BrM,109,13/08/2000
1592,913,FL,109,13/08/2000
1017,2547,BrF,110,13/08/2000
1017,2331,BrF,110,13/08/2000
1018,3186,BrM,110,13/08/2000
1018,480,BrM,110,13/08/2000
1018,2897,BrM,110,13/08/2000
1018,2332,BrM,110,13/08/2000
1536,3126,ABX,110,13/08/2000
1536,566,ABX,110,13/08/2000
1396,2735,BrM,112,13/08/2000
1396,1005,BrM,112,13/08/2000
1396,2721,BrM,112,13/08/2000
1396,98,BrM,112,13/08/2000
1396,1117,BrM,112,13/08/2000
1510,3144,BrF,112,13/08/2000
1510,96,BrF,112,13/08/2000
1510,771,BrF,112,13/08/2000
1510,3975,BrF,112,13/08/2000
1510,999,BrF,112,13/08/2000
1510,1118,BrF,112,13/08/2000
297,2402,BrF,115,13/08/2000
329,2526,ABX,115,13/08/2000
1179,2527,ABX,115,13/08/2000
776,2585,BrM,116,13/08/2000
1049,2532,BrF,116,13/08/2000
1049,2392,BrF,116,13/08/2000
1049,2392,BrF,116,13/08/2000
1049,134,BrF,116,13/08/2000
1597,279,OFL,117,13/08/2000
1597,921,OFL,117,13/08/2000
1598,922,OFL,117,13/08/2000
1598,188,OFL,117,13/08/2000
774,1108,BrF,117,13/08/2000
1198,2556,BrM,117,13/08/2000
1191,2551,BrM,118,13/08/2000
1492,758,ABX,122,13/08/2000
1380,2675,BrF,123,13/08/2000
1185,2747,BrM,125,13/08/2000
1185,2569,BrM,125,13/08/2000
1401,270,ABX,125,13/08/2000
1401,3198,ABX,125,13/08/2000
1401,4161,ABX,125,13/08/2000
510,2345,BrM,126,13/08/2000
510,2421,BrM,126,13/08/2000
1541,2949,ABX,127,13/08/2000
1541,839,ABX,127,13/08/2000
1541,411,ABX,127,13/08/2000
1427,727,BrM,128,13/08/2000
1427,4456,BrM,128,13/08/2000
1387,2712,BrF,128,13/08/2000
1387,2712,BrF,128,13/08/2000
915,2691,BrF,129,13/08/2000
1412,619,BrM,129,13/08/2000
1412,4213,BrM,129,13/08/2000
1412,4003,BrM,129,13/08/2000
1412,2947,BrM,129,13/08/2000
1570,1075,ABX,130,13/08/2000
1570,119,ABX,130,13/08/2000
1570,867,ABX,130,13/08/2000
1570,394,ABX,130,13/08/2000
509,2618,BrM,130,13/08/2000
509,2222,BrM,130,13/08/2000
663,865,BrF,130,13/08/2000
663,2224,BrF,130,13/08/2000
1429,642,BrF,134,13/08/2000
1429,156,BrF,134,13/08/2000
1429,2892,BrF,134,13/08/2000
1588,906,OFL,134,13/08/2000
845,1043,BrF,137,13/08/2000
1276,588,BrM,137,13/08/2000
1276,1042,BrM,137,13/08/2000
847,2677,BrM,138,13/08/2000
847,2682,BrM,138,13/08/2000
1589,3096,OFL,138,13/08/2000
1589,907,OFL,138,13/08/2000
1589,2935,OFL,138,13/08/2000
1171,4107,BrM,139,13/08/2000
1171,702,BrM,139,13/08/2000
1172,2518,BrF,139,13/08/2000
677,2300,BrF,141,13/08/2000
677,2531,BrF,141,13/08/2000
677,709,BrF,141,13/08/2000
1168,2529,BrM,141,13/08/2000
1533,190,ABX,141,13/08/2000
1533,3785,ABX,141,13/08/2000
1533,1025,ABX,141,13/08/2000
1533,4117,ABX,141,13/08/2000
1275,144,BrF,144,13/08/2000
1587,157,BrM,144,13/08/2000
1587,576,BrM,144,13/08/2000
1587,905,BrM,144,13/08/2000
668,710,BrM,147,13/08/2000
639,2680,BrF,155,13/08/2000
1028,2645,BrM,155,13/08/2000
1028,2348,BrM,155,13/08/2000
1028,2678,BrM,155,13/08/2000
1425,1027,BrM,157,13/08/2000
544,263,BrM,159,13/08/2000
544,137,BrM,159,13/08/2000
1517,782,BrF,159,13/08/2000
1532,1012,ABX,159,13/08/2000
1532,313,ABX,159,13/08/2000
1532,3739,ABX,159,13/08/2000
1532,3739,ABX,159,13/08/2000
1532,801,ABX,159,13/08/2000
1532,3966,ABX,159,13/08/2000
563,2681,BrF,160,13/08/2000
1043,1079,BrF,165,13/08/2000
1043,2950,BrF,165,13/08/2000
1043,2455,BrF,165,13/08/2000
1043,2371,BrF,165,13/08/2000
1043,611,BrF,165,13/08/2000
1043,4209,BrF,165,13/08/2000
1569,866,BrM,165,13/08/2000
1569,1077,BrM,165,13/08/2000
1177,2548,BrF,166,13/08/2000
1177,2614,BrF,166,13/08/2000
1535,806,ABX,166,13/08/2000
1271,2605,BrF,168,13/08/2000
1271,2954,BrF,168,13/08/2000
1272,2606,ABX,168,13/08/2000
1416,919,BrM,168,13/08/2000
1416,919,BrM,168,13/08/2000
1416,2771,BrM,168,13/08/2000
1595,916,OFL,168,13/08/2000
1154,2508,BrM,169,13/08/2000
1155,399,BrF,169,13/08/2000
1155,2973,BrF,169,13/08/2000
1436,1026,ABX,169,13/08/2000
1436,1026,ABX,169,13/08/2000
1498,767,SEEN1,169,13/08/2000
1498,755,SEEN1,169,13/08/2000
1498,767,SEEN1,169,13/08/2000
634,1066,BrM,171,13/08/2000
1234,2444,ABX,171,13/08/2000
1234,2670,ABX,171,13/08/2000
1600,925,CH,171,13/08/2000
1488,753,FLOAT,-3,13/08/2000
1504,2844,FLOAT,-3,13/08/2000
1504,745,FLOAT,-3,13/08/2000
1504,1128,FLOAT,-3,13/08/2000
1504,885,FLOAT,-3,13/08/2000
1504,69,FLOAT,-3,13/08/2000
1504,556,FLOAT,-3,13/08/2000
1504,598,FLOAT,-3,13/08/2000
1511,997,FLOAT,-3,13/08/2000
1511,772,FLOAT,-3,13/08/2000
1593,3196,FLOAT,-3,13/08/2000
1593,914,FLOAT,-3,13/08/2000
1033,2511,H,1,28/08/1997
912,46,BrF,1,28/08/1997
912,669,BrF,1,28/08/1997
912,2470,BrF,1,28/08/1997
912,372,BrF,1,28/08/1997
922,2403,BrM,1,28/08/1997
1151,2492,SEEN1,1,28/08/1997
1163,2415,SEEN2,1,28/08/1997
498,2640,SEEN1,1,28/08/1997
927,2292,BrF,2,28/08/1997
927,146,BrF,2,28/08/1997
927,2497,BrF,2,28/08/1997
501,2496,BrM,2,28/08/1997
501,141,BrM,2,28/08/1997
504,2718,BrF,5,28/08/1997
504,712,BrF,5,28/08/1997
44,2659,BrM,5,28/08/1997
596,2537,BrF,8,28/08/1997
497,2291,BrM,8,28/08/1997
497,2538,BrM,8,28/08/1997
497,401,BrM,8,28/08/1997
497,3850,BrM,8,28/08/1997
497,901,BrM,8,28/08/1997
1187,713,SEEN1,8,28/08/1997
1187,3371,SEEN1,8,28/08/1997
1187,990,SEEN1,8,28/08/1997
1187,4041,SEEN1,8,28/08/1997
1187,672,SEEN1,8,28/08/1997
1187,3955,SEEN1,8,28/08/1997
1187,3863,SEEN1,8,28/08/1997
1187,3744,SEEN1,8,28/08/1997
1187,3091,SEEN1,8,28/08/1997
550,2521,SEEN1,8,28/08/1997
595,357,BrF,9,28/08/1997
595,2189,BrF,9,28/08/1997
495,2285,BrM,9,28/08/1997
495,902,BrM,9,28/08/1997
495,2285,BrM,9,28/08/1997
823,1050,BrF,13,28/08/1997
823,857,BrF,13,28/08/1997
930,3807,H,14,28/08/1997
458,238,BrF,14,28/08/1997
1209,1029,FL,14,28/08/1997
1042,2408,SEEN1,14,28/08/1997
1042,1019,SEEN1,14,28/08/1997
1042,4797,SEEN1,14,28/08/1997
1042,292,SEEN1,14,28/08/1997
929,1035,BrM,15,28/08/1997
868,2628,BrM,16,28/08/1997
868,2703,BrM,16,28/08/1997
1186,789,SEEN1,20,28/08/1997
1186,878,SEEN1,20,28/08/1997
1186,2558,SEEN1,20,28/08/1997
172,2533,BrF,22,28/08/1997
