BirdID,NestID,ChickNr,HatchDate,FledgeDate,FateChick,DateCollection,Remarks
1716,600,1,20/07/2002,,F,,
1731,644,1,,20-Aug-02,F,,
1732,598,1,,,U,,
1733,607,1,,,F,,
1734,658,1,,04-Sep-02,F,,
1736,615,1,05/08/2002,,F,,
1737,667,1,03/09/2002,05-Sep-02,F,,
1738,650,1,,07-Sep-02,F,,
1739,630,1,26/07/2002,,F,,
1741,642,1,21/07/2002,,F,,
1742,663,1,,,F,,
1743,616,1,05/08/2002,,F,,
1746,635,1,,16-Jul-02,F,,
1747,625,1,,,F,,
1748,623,1,,,F,,
1749,622,1,14/08/2002,,F,,
1750,633,1,,14-Aug-02,F,,
1752,626,1,,,F,,
1755,609,1,,,F,,
1758,634,1,,24-Jul-02,F,,
1798,855,1,,,F,,
1804,741,1,,27-Aug-03,F ,,
1805,747,,,,F ,,
1806,862,1,,,F,,
1808,820,1,07/08/2003,,F,,
1820,784,1,,05-Aug-03,F,,
1824,714,1,,,F ,,
1825,719,1,,,F ,,
1826,729,1,,,F ,,
1828,795,1,,,F,,
1829,843,1,,23-Aug-03,F,,
1830,700,1,,,F,,
1831,763,1,,28-Aug-03,F,,
1832,708,1,,,F,,
1833,787,1,,23-Aug-03,F,,
1843,786,1,,27-Aug-03,F,,
1844,732,1,,28-Aug-03,F ,,
1845,842,1,,28-Aug-03,F,,
1846,783,1,,28-Aug-03,F,,
1847,720,1,,30-Aug-03,F ,,
1848,718,1,17/08/2003,30-Aug-03,F ,,
1849,706,1,16/08/2003,,F,,
1850,706,2,19/08/2003,,F,,
1852,716,1,20/08/2003,31-Aug-03,F ,,
1853,740,1,,,F ,,
1854,740,2,,,F ,,
1855,743,,,31-Aug-03,F ,,
1856,710,1,21/08/2003,31-Aug-03,F ,,
1857,710,1,21/08/2003,31-Aug-03,F ,,
1858,727,1,,31-Aug-03,F ,,
1864,726,1,,,F ,,
1865,854,1,,,F,,
1866,699,1,05/08/2003,23-Aug-03,F ,,
1867,744,1,19/08/2003,,F ,,
1868,755,,,,F ,,
1869,797,1,,,F,,
1870,796,1,08/08/2003,,F,,
1872,826,1,,28-Aug-03,F,,
1873,722,1,,,F,,
1874,775,1,,,F,,
1875,851,2,,,F,,
1876,781,1,10/08/2003,,F ,,
1879,725,1,,,F ,,
1881,702,1,,,F,,
1883,863,1,29/08/2003,,F,,
1884,828,1,,,F,,
