BloodID,BTN,TL,Objective,Whodunnit,ID,PlateID,BirdID,RightTarsus,LeftTarsus,BodyMass,EyeColour,LayYear,FieldPeriodID,OccasionID,OccasionDate,BreedGroupID,TerritoryID,Status,MaxOfMaxOfSeenDate,SexEstimate
2540,56,10485.49986,1,EB,90,36,941,26.5,26,17.3,,1994,22,690,13/07/1997,98,135,BrM,23/03/1998,1
2543,59,4262.090896,1,EB,91,29,208,26.0,25.9,16.3,,1988,22,690,13/07/1997,103,144,BrM,05/03/1998,1
2544,6,9208.673196,1,EB,13,1,1161,25.5,25.3,15.0,,1996,22,672,05/07/1997,2302,24,SEEN1,05/07/2001,0
2544,6,9208.673196,1,EB,13,1,1161,25.5,25.3,15.0,,1996,22,672,05/07/1997,62,76,SEEN1,05/07/2001,0
2545,60,12024.63993,8,EAF,2403,9,1181,26.7,26.6,14.9,,1997,22,693,14/07/1997,96,132,FL,15/03/1998,1
2545,60,7677.058122,5,EB,92,1,1181,26.7,26.6,14.9,,1997,22,693,14/07/1997,96,132,FL,15/03/1998,1
2546,61,8292.461531,1,EB,93,36,1182,24.4,24.6,14.7,,1996,22,693,14/07/1997,96,132,BrF,22/03/1998,0
2547,62,10923.51107,1,EB,95,36,1017,24.2,23.8,14.5,,1992,22,692,14/07/1997,83,110,BrF,23/05/2004,0
2547,62,4497.025717,1,EB,94,29,1017,24.2,23.8,14.5,,1992,22,692,14/07/1997,83,110,BrF,23/05/2004,0
2548,63,7127.486936,1,EB,96,36,1177,24.1,24.3,15.0,,1996,22,692,14/07/1997,112,166,BrF,11/07/2001,0
2549,64,3706.718632,1,EB,97,34,1193,25.4,25.3,15.8,,1996,22,691,14/07/1997,57,69,BrF,23/08/2007,0
2549,64,5083.799358,1,EB,98,40,1193,25.4,25.3,15.8,,1996,22,691,14/07/1997,57,69,BrF,23/08/2007,0
2549,64,3706.718632,1,EB,97,34,1193,25.4,25.3,15.8,,1996,22,691,14/07/1997,87,118,SEEN1,23/08/2007,0
2549,64,5083.799358,1,EB,98,40,1193,25.4,25.3,15.8,,1996,22,691,14/07/1997,87,118,SEEN1,23/08/2007,0
2551,66,8518.369514,1,EB,100,39,1191,25.4,25.1,15.9,,1996,22,691,14/07/1997,87,118,BrM,07/07/2001,1
2551,66,14004.97576,1,EB,99,36,1191,25.4,25.1,15.9,,1996,22,691,14/07/1997,87,118,BrM,07/07/2001,1
2552,67,11012.56594,1,EB,101,32,1192,24.5,24.1,15.5,,1996,22,691,14/07/1997,88,119,BrF,21/08/1997,0
2553,68,5627.138305,1,EB,102,8,1183,25.8,25.9,17.0,,1996,22,695,15/07/1997,113,167,BrM,15/07/1997,1
2554,69,6380.447145,1,EB,103,8,1189,25.1,25.3,15.8,,1996,22,695,15/07/1997,89,121,BrM,26/12/1997,1
2556,70,7220.546928,1,EB,104,8,1198,26.3,25.9,16.2,,1996,22,694,15/07/1997,86,117,BrM,12/08/2000,1
2557,71,7991.919803,1,EB,105,8,1199,26.1,25.6,16.5,,1996,22,694,15/07/1997,91,125,SEEN1,26/01/2008,1
2558,72,6864.028605,1,EB,106,8,1186,24.9,24.8,15.2,,1996,22,698,16/07/1997,25,20,SEEN1,20/07/2002,0
