BloodID,TL,BTN,Whodunnit,Objective,PlateID
2626,10017.86595,246,EB,1,15
2628,6111.824651,248,EB,1,15
2637,10081.06093,257,EB,1,15
2643,6015.273019,263,EB,1,15
2645,19855.17471,265,EB,1,16
2646,17621.09645,266,EB,1,16
2647,15364.47117,267,EB,1,16
2649,17050.92074,269,EB,1,16
2652,10968.82857,272,EB,1,16
2653,14001.95021,273,EB,1,16
2658,7646.45912,305,EB,1,16
2660,5390.535099,307,EB,1,17
2664,5238.793964,311,EB,1,17
2665,4323.325619,312,EB,1,17
2666,6216.363315,313,EB,1,17
2667,7470.679544,314,EB,1,17
2670,6262.853722,317,EB,1,17
2671,4327.588587,318,EB,1,17
2673,4112.407683,320,EB,1,18
2675,8550.96251,322,EB,1,18
2676,7662.532776,323,EB,1,18
2677,10975.75813,324,EB,1,18
2678,11019.40336,325,EB,1,18
2680,8283.916793,327,EB,1,18
2681,8525.26534,328,EB,1,18
2682,9466.933659,329,EB,1,19
2684,9384.630094,331,EB,1,19
2685,11924.04431,332,EB,1,19
2686,10710.70954,333,EB,1,19
2687,9200.683019,334,EB,1,19
2688,8620.598712,335,EB,1,19
2689,6807.132417,336,EB,1,20
2691,5836.679619,338,EB,1,20
2692,5326.269242,339,EB,1,20
2695,5374.405923,342,EB,1,20
2702,6677.41298,349,EB,1,20
2703,6483.583174,350,EB,1,20
2704,5762.495377,351,EB,1,20
702,4695.034816,454,EB,1,22
703,3111.878081,455,EB,1,22
704,4436.664008,456,EB,1,22
707,5386.571022,459,EB,1,22
709,8370.925673,461,EB,1,22
710,5910.453961,462,EB,1,22
712,2184.140575,464,EB,1,22
713,2657.446515,465,EB,1,22
714,3862.562124,466,EB,1,23
719,4688.776601,471,EB,1,23
726,4042.960749,478,EB,1,23
728,6046.713797,480,EB,1,23
729,4357.406854,481,EB,1,23
730,4070.003443,482,EB,1,23
732,5045.932068,484,EB,1,23
735,7062.961613,503,EB,1,23
744,3908.419914,513,EB,1,24
766,5207.280168,539,EB,1,24
782,10617.26069,556,EB,1,24
795,9318.141394,572,EB,1,24
804,7937.782962,581,EB,1,24
807,4703.494377,585,EB,1,24
830,5823.747639,611,EB,1,24
832,5116.737463,613,EB,1,25
836,3392.952047,618,EB,1,25
840,4253.396111,622,EB,1,25
842,3571.195018,625,EB,1,25
847,7080.469854,630,EB,1,25
849,6895.080019,632,EB,1,25
857,2268.648291,640,EB,1,25
859,6144.62888,642,EB,1,25
865,4690.931253,648,EB,1,26
866,5033.977712,649,EB,1,26
868,4620.541294,651,EB,1,26
873,4952.382652,664,EB,1,26
874,4290.339328,665,EB,1,26
875,8557.591672,666,EB,1,26
878,5019.359287,669,EB,1,26
879,3636.415507,670,EB,1,26
880,2080.207345,671,EB,1,27
883,3645.749774,674,EB,1,27
884,5741.650992,675,EB,1,27
888,4390.693853,679,EB,1,27
895,5137.591074,686,EB,1,27
901,6169.065948,692,EB,1,27
903,5733.768345,694,EB,1,27
904,6668.778385,695,EB,1,27
2507,2440.481449,26,EB,1,29
2513,1413.318636,31,EB,1,29
2517,3958.957255,35,EB,1,29
2521,10233.75257,39,EB,1,29
2526,8879.895189,43,EB,1,29
2543,4262.090896,59,EB,1,29
2547,4497.025717,62,EB,1,29
2581,5566.825008,93,EB,1,29
2659,4635.611984,306,EB,1,29
2533,2506.99868,5,EB,1,30
2465,4517.775508,155,EB,1,30
2475,6802.826353,164,EB,1,30
2598,6319.714486,218,EB,1,30
2614,5944.401376,234,EB,1,30
2618,6982.320947,238,EB,1,30
2640,6498.160982,260,EB,1,30
2657,5429.841576,304,EB,1,30
2715,3616.039387,362,EB,1,30
2718,9530.626492,365,EB,1,31
2747,8949.137113,394,EB,1,31
703,730.1451717,455,EB,1,31
708,18809.58593,460,EB,1,31
882,15878.93359,673,EB,1,31
889,14926.56323,680,EB,1,31
890,9563.406532,681,EB,1,31
2492,2923.658863,2,EB,1,32
2448,6803.386226,14,EB,1,32
2552,11012.56594,67,EB,1,32
2586,11454.58876,98,EB,1,32
2587,11347.34651,99,EB,1,32
2411,5304.83781,106,EB,1,32
2422,6960.138241,116,EB,1,33
2443,5261.49184,135,EB,1,33
2450,10485.49986,141,EB,1,33
2454,8292.461531,145,EB,1,33
2483,10923.51107,171,EB,1,33
2484,7127.486936,172,EB,1,33
2486,14004.97576,174,EB,1,33
2677,10.86051535,324,EB,1,33
2459,1321.155044,15,EB,1,34
2536,3275.130639,52,EB,1,34
2549,3706.718632,64,EB,1,34
2422,3399.699352,116,EB,1,34
2424,4347.274934,118,EB,1,34
2450,4075.251157,141,EB,1,34
2663,10405.765,310,EB,1,34
